Wall time,Step,Value
1612563256.4236162,26,-1.4139280319213867
1612563263.1112602,51,-2.593503475189209
1612563264.224513,54,-2.721174716949463
1612563267.0200713,65,-3.6587820053100586
1612563271.2431688,80,-2.8360395431518555
1612563271.8242207,83,-2.4380459785461426
1612563278.3870492,106,-2.743612766265869
1612563296.8759813,173,-2.440709352493286
1612563297.955534,176,-2.4845950603485107
1612563300.9180095,186,-2.456167697906494
1612563305.2968445,202,-2.4467508792877197
1612563320.2066202,257,-2.88907790184021
1612563321.5425327,263,-3.603806495666504
1612563328.4893472,288,-2.4450483322143555
1612563329.6569395,293,-2.788259983062744
1612563331.768315,301,-2.7432470321655273
1612563333.8240082,308,-3.6813533306121826
1612563343.7934647,345,-2.4285850524902344
1612563344.391867,347,-2.7787108421325684
1612563346.4853225,355,-2.516540050506592
1612563353.5181463,379,-2.4695050716400146
1612563356.025555,387,-2.5267605781555176
1612563362.0103076,407,-3.683432102203369
1612563377.5489006,465,-2.4737913608551025
1612563378.124002,466,-2.4871773719787598
1612563383.7277603,487,-2.4656503200531006
1612563385.6263483,492,-3.661843776702881
1612563389.6650522,507,-3.682786226272583
1612563390.713001,511,-2.438241481781006
1612563391.291426,512,-2.4481594562530518
1612563394.1612685,524,-2.6343390941619873
1612563399.925343,545,-2.7049179077148438
1612563406.5668097,568,-2.4679436683654785
1612563412.0955014,591,-2.446244955062866
1612563419.8227303,618,-2.656862497329712
1612563425.147121,634,-2.4458205699920654
1612563426.9570146,641,-3.6620473861694336
1612563427.6042857,642,-2.484241008758545
1612563437.139239,676,-2.4463346004486084
1612563441.0169635,690,-2.5455524921417236
1612563443.211801,698,-2.4629876613616943
1612563443.2127984,699,-3.609236240386963
1612563443.7355793,701,-2.4766321182250977
1612563444.8063273,704,-3.6958327293395996
1612563445.378555,706,-3.6186134815216064
1612563449.5873141,722,-2.858743190765381
1612563452.2131891,733,-2.4503045082092285
1612563465.4162529,781,-2.433014154434204
1612563467.6124957,789,-3.719938039779663
1612563469.8753953,797,-2.4767203330993652
1612563476.3832438,821,-3.6797659397125244
1612563477.5347204,825,-2.500472068786621
1612563480.3254375,834,-2.4957988262176514
1612563481.3806112,839,-3.7437517642974854
1612563481.8972301,841,-2.5485713481903076
1612563484.598506,851,-3.5049190521240234
1612563486.248373,856,-2.760918140411377
1612563486.7772958,858,-3.611375570297241
1612563487.8345244,863,-2.4695825576782227
1612563489.144548,866,-2.457381248474121
1612563490.1468503,870,-2.721111536026001
1612563491.6273723,876,-4.238177299499512
1612563493.575543,885,-3.707796096801758
1612563494.1753967,886,-2.4820539951324463
1612563501.5144315,910,-2.462801933288574
1612563502.6803367,914,-2.434670925140381
1612563513.0866876,949,-2.6226894855499268
1612563516.8077543,962,-2.488273859024048
1612563524.2646031,988,-2.4214134216308594
1612563524.811682,990,-3.7241592407226562
1612563526.926921,998,-2.4405715465545654
1612563533.3206842,1023,-3.717989921569824
1612563534.2982056,1026,-3.7109553813934326
1612563536.5267174,1035,-2.440624475479126
1612563538.8032134,1043,-2.438391923904419
1612563541.5651367,1052,-2.4509117603302
1612563541.5651367,1053,-3.7124381065368652
1612563543.383751,1059,-2.4460108280181885
1612563543.9633234,1060,-2.5834908485412598
1612563545.5565906,1067,-3.6486876010894775
1612563550.772624,1087,-2.466541290283203
1612563551.926205,1090,-2.4710543155670166
1612563554.7044468,1100,-2.4430079460144043
1612563570.2689393,1155,-1.4529001712799072
1612563571.2921164,1158,-2.446848154067993
1612563571.927423,1160,-2.6832809448242188
1612563572.8210313,1165,-2.984220504760742
1612563574.8666224,1172,-2.4160189628601074
1612563575.9478178,1177,-2.4288041591644287
1612563578.5158455,1187,-2.445960521697998
1612563580.542442,1194,-2.4580914974212646
1612563581.5322545,1199,-2.441944122314453
1612563584.8879726,1210,-2.8951542377471924
1612563595.8373916,1253,-2.4791786670684814
1612563597.4231782,1258,-1.154921531677246
1612563597.4231782,1259,-2.5337977409362793
1612563597.908856,1260,-2.469228982925415
1612563602.9085796,1278,-2.467622995376587
1612563606.8251123,1293,-2.4584996700286865
1612563610.3845901,1306,-2.435631513595581
1612563620.6325955,1346,-2.4418094158172607
1612563624.1815548,1361,-3.3606209754943848
1612563625.1340172,1364,-2.4432599544525146
1612563631.1827438,1389,-2.467068910598755
1612563632.7625768,1395,-2.4672770500183105
1612563634.8758523,1402,-2.42749285697937
1612563640.438898,1425,-2.462184429168701
1612563641.4840722,1429,-1.4225809574127197
1612563644.6121082,1441,-3.1628992557525635
1612563645.6086664,1444,-2.46655011177063
1612563646.6429195,1448,-3.6172313690185547
1612563646.6439304,1449,-2.4744327068328857
1612563661.074798,1500,-2.416041135787964
1612563662.761918,1506,-2.4048385620117188
1612563662.761918,1507,-2.4493980407714844
1612563669.2652473,1532,-3.6563353538513184
1612563672.6912708,1546,-2.465129852294922
1612563675.1058238,1557,-2.4368667602539062
1612563685.4875753,1592,-2.4657273292541504
1612563688.8008876,1605,-2.765108346939087
1612563691.9076068,1614,-2.4608044624328613
1612563693.3540633,1621,-2.4425010681152344
1612563702.9488,1655,-1.3162482976913452
1612563704.0910094,1659,-2.5999844074249268
1612563712.4179807,1687,-2.472383499145508
1612563718.4886236,1708,-1.7918410301208496
1612563718.4886236,1709,-2.468508720397949
1612563723.6998494,1726,-2.432805299758911
1612563724.9225132,1730,-2.445631980895996
1612563729.8413732,1748,-1.9933016300201416
1612563729.8413732,1749,-2.437995433807373
1612563736.7675028,1775,-2.4312775135040283
1612563739.6475375,1785,-2.429309368133545
1612563740.6246123,1789,-2.463611602783203
1612563742.7255995,1796,-1.7186851501464844
1612563743.3087924,1799,-2.499765157699585
1612563750.7411618,1825,-2.6029608249664307
1612563755.285355,1841,-2.440218925476074
1612563758.0865674,1851,-2.5443172454833984
1612563759.1099532,1855,-2.451218843460083
1612563760.2410955,1858,-2.443556785583496
1612563760.849424,1860,-2.484466075897217
1612563761.4552877,1863,-3.7206077575683594
1612563763.6941981,1870,-3.7206103801727295
1612563766.0710363,1879,-2.4356348514556885
1612563769.9916792,1893,-2.4776360988616943
1612563770.5423775,1895,-2.491328239440918
1612563771.5540676,1898,-2.4378507137298584
1612563772.677034,1903,-2.4576427936553955
1612563773.730217,1906,-2.40610408782959
1612563773.730217,1907,-2.4845242500305176
1612563779.9212859,1929,-2.4425065517425537
1612563782.6582184,1938,-2.4666590690612793
1612563784.2469661,1944,-2.428945541381836
1612563786.4501028,1952,-2.7552855014801025
1612563789.1332004,1962,-2.438894033432007
1612563790.8781848,1969,-2.455151319503784
1612563798.0793324,1994,-2.4603071212768555
1612563799.145492,1998,-2.439471483230591
1612563801.7081335,2008,-2.5020835399627686
1612563802.7581713,2013,-2.4622514247894287
1612563805.5134692,2023,-2.5029964447021484
1612563809.515749,2037,-2.4724678993225098
1612563810.5985699,2041,-1.715800404548645
1612563812.9214978,2048,-2.466996431350708
1612563813.4281256,2050,-2.432645559310913
1612563825.26369,2095,-2.43272066116333
1612563830.863513,2116,-2.467423439025879
1612563833.564776,2127,-2.5156967639923096
1612563834.6344805,2130,-2.4684324264526367
1612563840.3903754,2152,-2.4283149242401123
1612563844.8866477,2169,-2.4939651489257812
1612563845.3942587,2171,-2.4699387550354004
1612563850.7358227,2191,-2.435655117034912
1612563851.754096,2195,-2.460494041442871
1612563853.9523964,2203,-2.4425864219665527
1612563858.4265244,2221,-2.4682822227478027
1612563860.3034396,2228,-3.7485759258270264
1612563867.0613196,2255,-2.4637982845306396
1612563871.1207485,2269,-3.735853672027588
1612563872.1779778,2272,-3.645812511444092
1612563872.1779778,2273,-2.439846992492676
1612563873.2323256,2277,-2.401580333709717
1612563874.6345663,2282,-2.4544317722320557
1612563875.594,2287,-3.752697467803955
1612563877.5338151,2295,-2.454880714416504
1612563882.2594016,2315,-2.463911533355713
1612563892.3891501,2354,-3.6614227294921875
1612563893.308691,2358,-2.4286465644836426
1612563895.4549534,2366,-2.4288086891174316
1612563897.8743129,2376,-3.152639627456665
1612563904.234161,2400,-2.4674971103668213
1612563904.8126512,2402,-2.5059878826141357
1612563905.4251273,2404,-2.435098886489868
1612563907.5470688,2413,-2.4292447566986084
1612563909.8738632,2421,-2.444859504699707
1612563911.0045285,2425,-2.3918328285217285
1612563916.3307812,2445,-2.450099468231201
1612563917.8739717,2450,-2.473262071609497
1612563917.8739717,2451,-2.429436683654785
1612563918.4164886,2453,-2.4423623085021973
1612563919.483817,2456,-2.4545867443084717
1612563923.0501292,2471,-2.441632032394409
1612563924.0225134,2474,-2.4329495429992676
1612563924.968976,2479,-2.412867784500122
1612563930.1856413,2498,-2.465463399887085
1612563932.8948107,2508,-2.463822841644287
1612563934.531947,2514,-2.4392929077148438
1612563936.2186153,2520,-2.427776575088501
1612563937.0863025,2524,-3.68902587890625
1612563940.0329335,2536,-2.4435465335845947
1612563940.0329335,2537,-3.608386516571045
1612563947.1007278,2563,-2.497934341430664
1612563949.495833,2572,-2.472466468811035
1612563958.9585917,2608,-2.435490369796753
1612563958.959601,2609,-2.422581195831299
1612563959.610848,2611,-2.467132806777954
1612563971.0603082,2657,-2.450923442840576
1612563973.012458,2665,-3.723893642425537
1612563975.0567336,2672,-2.6725640296936035
1612563975.563378,2674,-2.4336631298065186
1612563976.0012093,2676,-2.413527488708496
1612563977.4616535,2682,-2.4195919036865234
1612563983.602265,2707,-2.4310250282287598
1612563984.1012182,2708,-2.458542823791504
1612563986.5971713,2718,-3.7206943035125732
1612563987.1127968,2720,-3.6960790157318115
1612563988.4338486,2727,-2.446829319000244
1612563992.277039,2741,-2.434189796447754
1612563993.7934477,2747,-2.4640653133392334
1612563996.2048097,2756,-2.4647538661956787
1612563999.5887644,2771,-2.4446353912353516
1612564000.551239,2775,-2.441432476043701
1612564001.050856,2777,-2.4769184589385986
1612564007.6522367,2802,-2.444098711013794
1612564013.1549745,2825,-2.6749603748321533
1612564015.1144102,2832,-2.4576306343078613
1612564020.1518028,2850,-2.4663898944854736
1612564021.9809465,2857,-2.860328197479248
1612564027.2993581,2877,-2.730820417404175
1612564032.679946,2896,-1.821864128112793
1612564039.7610652,2926,-3.6331183910369873
1612564042.3397472,2936,-1.983769178390503
1612564044.0054817,2942,-2.135549306869507
1612564049.3397021,2962,-1.9492195844650269
1612564052.344762,2973,-1.971043586730957
1612564057.4003148,2992,-2.4618325233459473
1612564061.3111122,3007,-2.447335720062256
1612564062.3303573,3010,-2.4393539428710938
1612564065.8056314,3024,-2.453397274017334
1612564076.3766441,3062,-2.428081750869751
1612564076.3766441,3063,-2.4758694171905518
1612564076.8852835,3064,-2.4236764907836914
1612564081.87608,3084,-2.4668149948120117
