Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:";
1612280906.4201865,848,-1.6331616640090942;;;;;;
1612280908.7628975,853,-1.112177848815918;;;;;;
1612280908.7628975,855,-1.505822777748108;;;;;;
1612280912.9936213,872,-1.6012526750564575;;;;;;
1612280912.9936213,873,-2.4494714736938477;;;;;;
1612280917.097103,892,-2.4553043842315674;;;;;;
1612280917.097103,897,-1.5120737552642822;;;;;;
1612280917.097103,899,-1.0523579120635986;;;;;;
1612280919.1517174,903,-3.454507827758789;;;;;;
1612280919.1517174,907,-1.8253763914108276;;;;;;
1612280925.4198062,934,-1.5005122423171997;;;;;;
1612280927.5276644,943,-2.8235490322113037;;;;;;
1612280927.5276644,947,-1.6484514474868774;;;;;;
1612280929.705787,953,-1.2520990371704102;;;;;;
1612280931.5708017,965,-1.2769370079040527;;;;;;
1612280931.5708017,967,-1.4863420724868774;;;;;;
1612280933.4009442,979,-1.4197649955749512;;;;;;
1612280935.7537448,983,-1.24754798412323;;;;;;
1612280935.7537448,985,-1.4548239707946777;;;;;;
1612280935.7537448,989,-1.5827314853668213;;;;;;
1612280937.256726,991,-1.3995524644851685;;;;;;
1612280937.257733,997,-3.093937873840332;;;;;;
1612280939.471837,1001,-1.2467129230499268;;;;;;
1612280941.9968345,1010,-2.461686849594116;;;;;;
1612280941.9968345,1012,-1.5764247179031372;;;;;;
1612280943.9276662,1029,-1.699183702468872;;;;;;
1612280946.224449,1032,-2.510694742202759;;;;;;
1612280946.224449,1039,-2.486461639404297;;;;;;
1612280948.840999,1041,-1.5818812847137451;;;;;;
1612280951.0592828,1050,-1.5183391571044922;;;;;;
1612280951.0592828,1058,-1.5041844844818115;;;;;;
1612280953.1745412,1060,-1.2671338319778442;;;;;;
1612280953.1745412,1065,-2.451836109161377;;;;;;
1612280953.1755342,1069,-1.3437349796295166;;;;;;
1612280955.272547,1073,-1.0809348821640015;;;;;;
1612280955.272547,1075,-1.1170263290405273;;;;;;
1612280955.2735748,1076,-2.4554948806762695;;;;;;
1612280955.2735748,1077,-2.498119592666626;;;;;;
1612280957.4992433,1081,-1.1488115787506104;;;;;;
1612280957.4992433,1083,-1.6418461799621582;;;;;;
1612280959.3642886,1092,-1.1195440292358398;;;;;;
1612280959.3642886,1094,-1.607635498046875;;;;;;
1612280961.6282375,1108,-1.419942021369934;;;;;;
1612280963.788901,1112,-3.3254644870758057;;;;;;
1612280965.6568763,1123,-2.4917030334472656;;;;;;
1612280965.6579044,1127,-0.9676475524902344;;;;;;
1612280967.6257222,1137,-1.0884661674499512;;;;;;
1612280970.0445416,1146,-1.1382858753204346;;;;;;
1612280971.798649,1150,-1.3164986371994019;;;;;;
1612280976.187711,1172,-1.090747356414795;;;;;;
1612280978.2346091,1185,-2.462583541870117;;;;;;
1612280978.2346091,1187,-1.160304069519043;;;;;;
1612280980.659128,1191,-2.9805595874786377;;;;;;
1612280980.659128,1192,-2.398021936416626;;;;;;
1612280980.6601257,1194,-1.13472318649292;;;;;;
1612280980.6601257,1195,-2.8056180477142334;;;;;;
1612280980.6601257,1199,-0.9522600173950195;;;;;;
1612280982.421319,1205,-0.9659229516983032;;;;;;
1612280984.967573,1213,-1.1319613456726074;;;;;;
1612280987.5086086,1222,-1.302996277809143;;;;;;
1612280987.5086086,1227,-3.2417914867401123;;;;;;
1612280989.5605204,1234,-3.584033727645874;;;;;;
1612280991.7190883,1240,-1.549220085144043;;;;;;
1612280991.7190883,1242,-1.14412522315979;;;;;;
1612280991.7190883,1245,-0.9883750677108765;;;;;;
1612280991.7190883,1247,-1.2610715627670288;;;;;;
1612280994.1186738,1251,-1.3808021545410156;;;;;;
1612280994.1186738,1253,-1.6591742038726807;;;;;;
1612280994.1186738,1254,-2.4424893856048584;;;;;;
1612280996.2528193,1260,-3.2070930004119873;;;;;;
1612280996.2528193,1261,-2.522395372390747;;;;;;
1612280996.2538097,1266,-1.2175962924957275;;;;;;
1612280998.2127945,1270,-1.647018313407898;;;;;;
1612280998.2127945,1272,-1.0268151760101318;;;;;;
1612281000.5106494,1286,-1.647803783416748;;;;;;
1612281002.381548,1292,-1.9279483556747437;;;;;;
1612281004.3530762,1300,-1.6843676567077637;;;;;;
1612281004.354107,1306,-1.4927420616149902;;;;;;
1612281004.354107,1308,-2.531315326690674;;;;;;
1612281006.3318372,1311,-1.2289252281188965;;;;;;
1612281006.3328454,1319,-3.052994728088379;;;;;;
1612281008.4422126,1326,-1.0414924621582031;;;;;;
1612281010.2164357,1332,-3.7538652420043945;;;;;;
1612281010.2164357,1334,-1.287095308303833;;;;;;
1612281010.2164357,1336,-1.0663005113601685;;;;;;
1612281010.2174652,1338,-3.2943835258483887;;;;;;
1612281012.1842093,1348,-2.497354745864868;;;;;;
1612281014.2483041,1359,-1.315664291381836;;;;;;
1612281016.731022,1362,-2.442983388900757;;;;;;
1612281016.7320495,1363,-2.4941704273223877;;;;;;
1612281018.8513541,1371,-1.6246047019958496;;;;;;
1612281018.8513541,1377,-1.0813212394714355;;;;;;
1612281018.8513541,1379,-1.3201782703399658;;;;;;
1612281021.0764394,1385,-1.1049251556396484;;;;;;
1612281021.0764394,1386,-2.4357974529266357;;;;;;
1612281021.0764394,1388,-1.15706467628479;;;;;;
1612281023.000294,1392,-1.623093605041504;;;;;;
1612281023.000294,1396,-1.0116078853607178;;;;;;
1612281025.1395702,1408,-1.7826905250549316;;;;;;
1612281027.1097035,1412,-1.2158432006835938;;;;;;
1612281027.1097035,1414,-1.2087560892105103;;;;;;
1612281027.1097035,1418,-2.4648823738098145;;;;;;
1612281028.6515822,1420,-1.170823335647583;;;;;;
1612281028.6515822,1422,-3.155228853225708;;;;;;
1612281028.65258,1426,-3.107090473175049;;;;;;
1612281028.65258,1428,-1.4867891073226929;;;;;;
1612281030.820815,1439,-1.7330604791641235;;;;;;
1612281033.332594,1447,-1.1256685256958008;;;;;;
1612281033.332594,1449,-1.7266902923583984;;;;;;
1612281035.344808,1453,-1.1611202955245972;;;;;;
1612281035.344808,1457,-1.355940580368042;;;;;;
1612281037.3694427,1461,-1.282184362411499;;;;;;
1612281037.3694427,1462,-2.431748390197754;;;;;;
1612281037.3694427,1464,-1.5363861322402954;;;;;;
1612281037.3694427,1465,-2.461785316467285;;;;;;
1612281037.3694427,1467,-1.4956655502319336;;;;;;
1612281039.1847556,1472,-1.0443321466445923;;;;;;
1612281041.1671033,1480,-1.1122583150863647;;;;;;
1612281041.1671033,1486,-2.9971282482147217;;;;;;
1612281043.35027,1490,-1.1677517890930176;;;;;;
1612281043.35027,1491,-2.4625742435455322;;;;;;
1612281043.35027,1493,-1.7558903694152832;;;;;;
1612281045.4925425,1505,-1.6839216947555542;;;;;;
1612281045.4925425,1507,-3.309516429901123;;;;;;
1612281047.791227,1511,-1.425349235534668;;;;;;
1612281047.791227,1517,-1.4020113945007324;;;;;;
1612281049.9215326,1524,-1.16677987575531;;;;;;
1612281049.9215326,1529,-1.5572115182876587;;;;;;
1612281051.5907505,1535,-1.3270632028579712;;;;;;
1612281051.5907505,1537,-1.6451669931411743;;;;;;
1612281053.888933,1541,-1.4533863067626953;;;;;;
1612281053.888933,1544,-1.6163618564605713;;;;;;
1612281053.888933,1548,-1.1705570220947266;;;;;;
