Wall time,Step,Value
1612820074.5236928,112,-0.8259042501449585
1612820074.529677,118,-0.7588967680931091
1612820085.6162617,146,-0.6822383403778076
1612820091.0899308,180,-0.9399999380111694
1612820114.6715639,260,-0.5913617610931396
1612820121.1529431,266,-0.6414895057678223
1612820146.2191498,342,-0.8450061082839966
1612820146.2311175,352,-0.9393793344497681
1612820152.0345976,382,-0.8849649429321289
1612820163.646077,394,-0.9454582333564758
1612820175.6368394,440,-0.834097683429718
1612820175.640821,444,-0.6479831337928772
1612820175.6567776,460,-0.76174396276474
1612820217.6990175,582,-0.8057429194450378
1612820229.7528205,636,-0.9329413175582886
1612820235.8530343,652,-0.9800000190734863
1612820261.2347496,728,-0.9171622395515442
1612820272.9026985,758,-0.9600000381469727
1612820278.9113822,778,-0.9618848562240601
1612820278.9253433,792,-0.8144015073776245
1612820298.0376236,852,-0.5732742547988892
1612820304.761546,866,-0.7987163662910461
1612820310.664724,882,-0.8112653493881226
1612820310.6836379,902,-0.6810545325279236
1612820328.0177307,952,-0.8129425048828125
1612820334.645525,956,-1.1197509765625
1612820353.243431,1018,-0.8029715418815613
1612820358.8322868,1034,-0.8247520327568054
1612820358.8362749,1038,-0.9596172571182251
1612820364.2779458,1056,-0.6721329689025879
1612820364.2889204,1068,-1.0433834791183472
1612820375.7406604,1100,-0.623836100101471
1612820416.123971,1234,-0.518561601638794
1612820422.4378703,1274,-0.9667730331420898
1612820434.2705545,1318,-0.888857364654541
1612820439.832491,1324,-1.0769015550613403
1612820456.162169,1386,-0.9699999690055847
1612820456.1681447,1392,-1.0495516061782837
1612820472.270133,1432,-0.9483510851860046
1612820494.568068,1536,-0.8674977421760559
1612820522.6213837,1638,-0.9608467221260071
1612820544.6761372,1700,-0.40512338280677795
1612820544.6821215,1706,-0.8914327621459961
1612820550.4541593,1722,-0.9800000190734863
1612820550.4621365,1730,-0.6259414553642273
1612820567.6603267,1790,-0.8347299695014954
1612820573.3301642,1792,-0.7945367097854614
1612820585.2432954,1836,-0.5080099701881409
