Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612198003.6721404,878,-1.061272144317627;;;;;
1612198004.7710268,883,-1.1463558673858643;;;;;
1612198005.1016846,884,-2.473299503326416;;;;;
1612198005.9793186,888,-1.2501895427703857;;;;;
1612198006.7315824,892,-1.596719741821289;;;;;
1612198013.1375902,916,-2.427382707595825;;;;;
1612198015.3564868,926,-1.0580700635910034;;;;;
1612198016.070123,930,-1.5300843715667725;;;;;
1612198017.0584366,935,-1.6229610443115234;;;;;
1612198020.6165764,949,-1.8932735919952393;;;;;
1612198021.1102538,950,-2.4528708457946777;;;;;
1612198023.475142,960,-2.5308618545532227;;;;;
1612198024.4425628,964,-1.389330267906189;;;;;
1612198024.4425628,965,-2.4863033294677734;;;;;
1612198025.189672,969,-1.2404489517211914;;;;;
1612198025.5507004,971,-1.1273099184036255;;;;;
1612198027.0607064,977,-1.1288187503814697;;;;;
1612198028.20868,981,-1.418520450592041;;;;;
1612198030.6027792,990,-0.9546924829483032;;;;;
1612198031.2663867,992,-1.032055377960205;;;;;
1612198035.2553232,1008,-1.2074148654937744;;;;;
1612198035.780986,1011,-1.2670555114746094;;;;;
1612198037.2913563,1017,-2.4420900344848633;;;;;
1612198038.084992,1019,-1.721048355102539;;;;;
1612198040.999997,1028,-1.290286660194397;;;;;
1612198042.3940566,1034,-1.5796458721160889;;;;;
1612198043.054294,1036,-1.8433483839035034;;;;;
1612198043.9416673,1040,-1.2599456310272217;;;;;
1612198044.42582,1043,-1.2829890251159668;;;;;
1612198045.3568935,1047,-1.2000722885131836;;;;;
1612198045.6770384,1048,-2.4001922607421875;;;;;
1612198045.9961874,1050,-1.0882678031921387;;;;;
1612198046.330165,1052,-1.220936894416809;;;;;
1612198047.1190479,1056,-3.3372974395751953;;;;;
1612198047.5898094,1058,-1.283209204673767;;;;;
1612198049.7140014,1068,-1.3171486854553223;;;;;
1612198050.1278784,1070,-1.4632213115692139;;;;;
1612198053.1463854,1084,-1.102319359779358;;;;;
1612198053.5127063,1086,-2.443774461746216;;;;;
1612198055.486367,1096,-2.5315120220184326;;;;;
1612198056.099727,1099,-1.4173965454101562;;;;;
1612198058.5303135,1108,-1.3655364513397217;;;;;
1612198060.1307402,1115,-1.0785458087921143;;;;;
1612198061.0640094,1118,-1.4555810689926147;;;;;
1612198065.7220376,1140,-1.3843121528625488;;;;;
1612198068.6804495,1154,-1.0299005508422852;;;;;
1612198069.170195,1156,-1.6442148685455322;;;;;
1612198070.0398316,1160,-1.649472951889038;;;;;
1612198070.0398316,1161,-2.444589138031006;;;;;
1612198070.5126739,1163,-3.301657199859619;;;;;
1612198071.137037,1165,-1.277455449104309;;;;;
1612198071.9787674,1168,-1.96978759765625;;;;;
1612198073.095364,1174,-1.0854763984680176;;;;;
1612198074.9314919,1182,-1.5810333490371704;;;;;
1612198077.1999922,1192,-1.326471209526062;;;;;
1612198078.3565705,1198,-1.0132479667663574;;;;;
1612198080.3248482,1206,-0.997124195098877;;;;;
1612198081.4207258,1212,-1.602235198020935;;;;;
1612198081.4207258,1213,-2.467916965484619;;;;;
1612198082.45053,1217,-1.1280388832092285;;;;;
1612198082.777947,1219,-1.7786349058151245;;;;;
1612198083.7391634,1223,-1.2215242385864258;;;;;
1612198084.3016617,1225,-0.9931545853614807;;;;;
1612198084.647737,1226,-2.436811923980713;;;;;
1612198085.5383012,1231,-1.9338068962097168;;;;;
1612198085.8634715,1233,-1.2660102844238281;;;;;
1612198087.1754088,1239,-1.3166837692260742;;;;;
1612198087.8516471,1243,-1.2110275030136108;;;;;
1612198088.1987207,1245,-0.9802737832069397;;;;;
1612198091.625089,1256,-2.7799243927001953;;;;;
1612198092.6019835,1261,-1.1328023672103882;;;;;
1612198094.0781116,1267,-2.7980902194976807;;;;;
1612198095.2332435,1271,-2.5235378742218018;;;;;
1612198096.2720845,1274,-1.12455415725708;;;;;
1612198097.2603676,1278,-1.820512056350708;;;;;
1612198098.4515684,1285,-1.4934241771697998;;;;;
1612198100.1469164,1293,-1.2490272521972656;;;;;
1612198101.4388964,1299,-0.9449940919876099;;;;;
1612198101.7650244,1301,-1.0578465461730957;;;;;
1612198102.2412603,1303,-1.1696041822433472;;;;;
1612198102.6330006,1305,-1.4213283061981201;;;;;
1612198105.0864758,1317,-1.0985416173934937;;;;;
1612198107.6155488,1326,-2.406820058822632;;;;;
1612198108.1876304,1329,-1.106771469116211;;;;;
1612198108.7782676,1330,-2.497159242630005;;;;;
1612198110.3326676,1336,-1.065922737121582;;;;;
1612198111.6929667,1342,-1.6901952028274536;;;;;
1612198112.0627306,1344,-1.52300226688385;;;;;
1612198113.2776985,1349,-1.0314726829528809;;;;;
1612198113.616906,1350,-2.4576406478881836;;;;;
1612198114.0766587,1352,-3.1673216819763184;;;;;
1612198115.079024,1356,-1.084547758102417;;;;;
1612198116.1106296,1360,-1.193408489227295;;;;;
1612198118.8191822,1370,-1.194812297821045;;;;;
1612198120.0485177,1376,-1.1151727437973022;;;;;
1612198120.390603,1378,-0.9224836826324463;;;;;
1612198121.5431595,1384,-1.3253594636917114;;;;;
1612198122.1485667,1386,-1.2295366525650024;;;;;
1612198122.1485667,1387,-2.4173479080200195;;;;;
1612198123.3782341,1390,-1.020838737487793;;;;;
1612198123.8758845,1392,-1.0571162700653076;;;;;
1612198126.1905606,1403,-1.5803263187408447;;;;;
1612198127.481,1409,-1.0171270370483398;;;;;
1612198128.0357015,1411,-1.3715193271636963;;;;;
1612198128.7663412,1414,-1.1313977241516113;;;;;
1612198129.490905,1418,-1.2630529403686523;;;;;
1612198130.3233964,1422,-1.0816435813903809;;;;;
1612198130.7143197,1424,-1.0565110445022583;;;;;
1612198131.0434403,1426,-1.16465163230896;;;;;
1612198131.6484113,1428,-1.0611562728881836;;;;;
1612198131.6484113,1429,-2.5207674503326416;;;;;
1612198133.214002,1434,-1.1257680654525757;;;;;
1612198134.323477,1439,-2.511507034301758;;;;;
1612198136.05997,1444,-3.0038974285125732;;;;;
1612198136.9186735,1448,-1.5297040939331055;;;;;
1612198137.312637,1450,-3.2700657844543457;;;;;
1612198137.6777458,1452,-1.3639850616455078;;;;;
1612198140.3403177,1463,-2.4819936752319336;;;;;
1612198140.8323877,1465,-1.1446278095245361;;;;;
1612198141.687934,1469,-2.9331212043762207;;;;;
1612198143.168129,1475,-1.0481061935424805;;;;;
1612198145.0431852,1482,-1.1718742847442627;;;;;
1612198146.0185788,1487,-2.4292380809783936;;;;;
1612198147.4416413,1492,-2.4225289821624756;;;;;
1612198147.4416413,1493,-2.4993839263916016;;;;;
1612198148.6323836,1497,-1.1754069328308105;;;;;
1612198149.221809,1499,-2.4195399284362793;;;;;
1612198149.8209474,1501,-2.4282190799713135;;;;;
1612198151.2599764,1507,-1.2688860893249512;;;;;
1612198152.970399,1512,-2.4050166606903076;;;;;
