Wall time,Step,Value
1612631771.435052,9,-3.496394157409668
1612631773.126297,16,-3.2265262603759766
1612631773.9750288,18,-4.33448600769043
1612631775.5944748,26,-2.9122800827026367
1612631775.5984657,28,-2.9122800827026367
1612631776.0831673,29,-3.248232126235962
1612631776.0871568,31,-3.248232126235962
1612631777.17127,33,-2.4582786560058594
1612631777.6519818,34,-3.3838393688201904
1612631778.985411,43,-4.078969955444336
1612631779.4910579,44,-2.4613161087036133
1612631779.7832932,47,-5.61336612701416
1612631780.7018292,51,-2.9805102348327637
1612631781.9952865,54,-4.083338737487793
1612631783.0581832,58,-3.820388078689575
1612631783.5237532,59,-3.6997408866882324
1612631783.5267448,60,-3.6997408866882324
1612631784.287644,63,-5.142268180847168
1612631784.6666207,66,-5.074370861053467
1612631785.6290486,70,-3.275920867919922
1612631786.943921,77,-3.471055507659912
1612631788.1905746,82,-3.472583770751953
1612631788.7998538,85,-3.3518030643463135
1612631789.311451,86,-3.590963363647461
1612631790.2698896,91,-2.626624584197998
1612631790.7595968,90,-2.9132332801818848
1612631791.502594,96,-4.097445487976074
1612631791.9982696,99,-3.370394706726074
1612631792.5169108,99,-3.1853415966033936
1612631792.518878,100,-3.1853415966033936
1612631792.9646864,102,-3.330209255218506
1612631794.0358236,106,-3.541827440261841
1612631794.8137448,110,-3.4157917499542236
1612631794.816736,111,-3.4157917499542236
1612631795.712374,112,-5.183078289031982
1612631796.667822,119,-3.8053274154663086
1612631797.6703699,121,-3.119095802307129
1612631797.9775698,124,-5.4423370361328125
1612631798.4884443,125,-2.5146872997283936
1612631799.7371104,131,-5.281437873840332
1612631800.2437773,135,-3.3888468742370605
1612631801.0008085,136,-4.607420921325684
1612631801.6332083,141,-1.9040957689285278
1612631802.005342,143,-5.1272172927856445
1612631802.7034776,143,-2.0798473358154297
1612631805.0203068,152,-2.862635612487793
1612631805.404465,155,-4.811977386474609
1612631805.4064758,156,-4.811977386474609
1612631805.769967,159,-4.47947883605957
1612631806.714933,160,-3.8327314853668213
1612631806.718924,162,-3.8327314853668213
1612631807.7459507,166,-3.2302041053771973
1612631807.7479181,167,-3.2302041053771973
1612631808.950803,170,-3.5059125423431396
1612631809.4973416,172,-2.832515239715576
1612631810.1595714,177,-5.195945739746094
1612631810.9015877,181,-2.850132703781128
1612631812.7262592,189,-5.651668071746826
1612631813.2438765,191,-3.258096933364868
1612631814.1895041,193,-3.7455358505249023
1612631814.6652014,195,-3.2799792289733887
1612631814.6681933,197,-3.2799792289733887
1612631819.5513473,217,-4.335430145263672
1612631819.5533426,218,-4.335430145263672
1612631819.8824623,218,-5.449806213378906
1612631820.3861156,222,-3.6259264945983887
