Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612188706.1084304,452,-1.56563401222229;;;;;
1612188708.330421,460,-1.5321825742721558;;;;;
1612188708.8791947,462,-1.3397259712219238;;;;;
1612188710.001767,466,-1.5009557008743286;;;;;
1612188711.1586812,470,-1.4118592739105225;;;;;
1612188711.7321432,472,-1.3629696369171143;;;;;
1612188714.5365684,482,-1.5742311477661133;;;;;
1612188716.1851602,488,-1.5290316343307495;;;;;
1612188716.7287433,490,-1.3191640377044678;;;;;
1612188717.349547,492,-1.442948341369629;;;;;
1612188717.9010737,494,-1.3952248096466064;;;;;
1612188719.026098,498,-1.4018216133117676;;;;;
1612188721.2880526,506,-1.5604913234710693;;;;;
1612188722.4689157,510,-1.3795647621154785;;;;;
1612188723.6380596,514,-1.3612616062164307;;;;;
1612188724.7346623,518,-1.3691576719284058;;;;;
1612188727.0158901,526,-1.3867027759552002;;;;;
1612188727.564416,528,-1.417163372039795;;;;;
1612188728.6724658,532,-1.430513858795166;;;;;
1612188730.9411225,540,-1.354257583618164;;;;;
1612188733.7356317,550,-1.3259739875793457;;;;;
1612188734.8416715,554,-1.5639441013336182;;;;;
1612188735.3902566,556,-1.529017448425293;;;;;
1612188737.0248966,562,-1.490269660949707;;;;;
1612188738.1096566,566,-1.4402543306350708;;;;;
1612188738.6551828,568,-1.3898484706878662;;;;;
1612188739.2077072,570,-1.5332019329071045;;;;;
1612188740.3258164,574,-1.3863581418991089;;;;;
1612188740.8773108,576,-1.572662353515625;;;;;
1612188741.427852,578,-1.517673373222351;;;;;
1612188743.7028449,586,-1.391282320022583;;;;;
1612188744.2583652,588,-1.4247193336486816;;;;;
1612188745.426429,592,-1.3604552745819092;;;;;
1612188747.1671195,598,-1.5299925804138184;;;;;
1612188749.4521413,606,-1.4499647617340088;;;;;
1612188750.0634742,608,-1.3602287769317627;;;;;
1612188750.606024,610,-1.564993143081665;;;;;
1612188751.1695173,612,-1.5308284759521484;;;;;
1612188752.3306544,616,-1.5738725662231445;;;;;
1612188753.9704125,622,-1.3445971012115479;;;;;
1612188754.5313144,624,-1.4839372634887695;;;;;
1612188755.0778787,626,-1.5308289527893066;;;;;
1612188756.7085016,632,-1.5292210578918457;;;;;
1612188757.2576623,634,-1.5130212306976318;;;;;
1612188758.3557613,638,-1.50152587890625;;;;;
1612188761.696797,650,-1.3899226188659668;;;;;
1612188762.786883,654,-1.3972625732421875;;;;;
1612188763.8969157,658,-1.4898761510849;;;;;
1612188764.4724088,660,-1.4111042022705078;;;;;
1612188765.015925,662,-1.586436152458191;;;;;
1612188766.1229653,666,-1.5180816650390625;;;;;
1612188766.691446,668,-1.446305513381958;;;;;
1612188769.4159205,678,-1.3698517084121704;;;;;
1612188770.0422137,680,-1.4545412063598633;;;;;
1612188771.2290757,684,-1.5764559507369995;;;;;
1612188772.324115,688,-1.5114842653274536;;;;;
1612188772.880627,690,-1.486483097076416;;;;;
1612188773.4291186,692,-1.4198846817016602;;;;;
1612188775.0936506,698,-1.5055809020996094;;;;;
1612188775.6491659,700,-1.4962238073349;;;;;
1612188776.2236624,702,-1.3742272853851318;;;;;
1612188777.387521,706,-1.5519723892211914;;;;;
1612188777.966005,708,-1.5417160987854004;;;;;
1612188779.1172197,712,-1.5318880081176758;;;;;
1612188779.6667655,714,-1.4138152599334717;;;;;
1612188780.78576,718,-1.5581128597259521;;;;;
1612188781.963643,722,-1.4846653938293457;;;;;
1612188783.0656667,726,-1.4694955348968506;;;;;
1612188783.6192315,728,-1.4202094078063965;;;;;
1612188784.1617362,730,-1.5036122798919678;;;;;
1612188785.262825,734,-1.359980583190918;;;;;
1612188785.813353,736,-1.5580880641937256;;;;;
1612188787.4968297,742,-1.4815579652786255;;;;;
1612188788.0553293,744,-1.3632118701934814;;;;;
1612188788.692682,746,-1.3414037227630615;;;;;
1612188789.252131,748,-1.5503860712051392;;;;;
1612188790.3522,752,-1.5788742303848267;;;;;
1612188790.9106965,754,-1.4624109268188477;;;;;
1612188791.4672112,756,-1.4152101278305054;;;;;
1612188792.0636141,758,-1.4054014682769775;;;;;
1612188797.0890732,776,-1.594169020652771;;;;;
1612188797.6406233,778,-1.534212589263916;;;;;
1612188798.7656174,782,-1.4730252027511597;;;;;
1612188800.4072108,788,-1.3956935405731201;;;;;
1612188804.3273191,802,-1.3564963340759277;;;;;
1612188804.9227269,804,-1.5350592136383057;;;;;
1612188807.2585652,812,-1.5156192779541016;;;;;
1612188807.804398,814,-1.539298415184021;;;;;
1612188808.352976,816,-1.437398910522461;;;;;
1612188809.4480054,820,-1.4115912914276123;;;;;
1612188810.5680118,824,-1.3814613819122314;;;;;
1612188812.8539057,832,-1.5412653684616089;;;;;
1612188817.884481,850,-1.5124428272247314;;;;;
1612188818.4340124,852,-1.4389294385910034;;;;;
1612188819.0144506,854,-1.3381693363189697;;;;;
1612188819.5709774,856,-1.570948839187622;;;;;
1612188820.7518055,860,-1.515073299407959;;;;;
1612188821.2943714,862,-1.479443907737732;;;;;
1612188822.9379706,868,-1.3332189321517944;;;;;
1612188824.6493726,874,-1.5036468505859375;;;;;
1612188828.171994,886,-1.474013090133667;;;;;
