Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186551.5720544,767,-1.5984158515930176;;;;;
1612186555.1613321,784,-1.1320109367370605;;;;;
1612186556.0090668,788,-1.121103048324585;;;;;
1612186556.3371894,790,-1.0570154190063477;;;;;
1612186557.241758,795,-1.3690168857574463;;;;;
1612186559.715971,806,-1.0002589225769043;;;;;
1612186563.0411143,820,-2.455944061279297;;;;;
1612186563.351256,822,-1.2092316150665283;;;;;
1612186564.6516118,828,-3.242410659790039;;;;;
1612186564.9991899,830,-1.03782320022583;;;;;
1612186568.2415738,846,-1.3008626699447632;;;;;
1612186568.7023687,848,-1.2193067073822021;;;;;
1612186572.9990046,869,-1.612292766571045;;;;;
1612186574.2533092,875,-1.0953623056411743;;;;;
1612186574.7958593,876,-2.5376269817352295;;;;;
1612186575.1359513,879,-2.449384927749634;;;;;
1612186576.2270336,883,-1.3632020950317383;;;;;
1612186581.2803454,909,-1.2244031429290771;;;;;
1612186583.784309,918,-1.6152335405349731;;;;;
1612186584.7503884,922,-1.0101847648620605;;;;;
1612186586.1017592,928,-1.4307019710540771;;;;;
1612186586.4318764,931,-2.4816200733184814;;;;;
1612186588.792566,941,-1.2603089809417725;;;;;
1612186589.091814,943,-3.2408812046051025;;;;;
1612186591.6285775,954,-0.9795403480529785;;;;;
1612186592.650844,958,-1.524207592010498;;;;;
1612186593.097682,960,-1.6841078996658325;;;;;
1612186594.1024926,964,-1.4987848997116089;;;;;
1612186594.420642,966,-1.5047279596328735;;;;;
1612186595.2255032,971,-2.4137866497039795;;;;;
1612186595.8309271,975,-3.334974765777588;;;;;
1612186598.085931,984,-1.0098217725753784;;;;;
1612186598.3951058,986,-1.023834466934204;;;;;
1612186601.4839518,1002,-1.0814058780670166;;;;;
1612186602.13324,1006,-3.228410243988037;;;;;
1612186603.3152442,1013,-1.078677773475647;;;;;
1612186603.9758644,1015,-0.9859458208084106;;;;;
1612186604.422697,1016,-2.5223264694213867;;;;;
1612186605.8847418,1024,-1.3810393810272217;;;;;
1612186607.444625,1032,-1.100964069366455;;;;;
1612186607.7677615,1034,-1.124633550643921;;;;;
1612186608.4329977,1039,-2.430406093597412;;;;;
1612186609.1949775,1043,-1.6511597633361816;;;;;
1612186609.6118567,1045,-1.3027279376983643;;;;;
1612186610.0696254,1047,-1.5150659084320068;;;;;
1612186610.605177,1049,-1.1870300769805908;;;;;
1612186610.9382858,1051,-1.5815751552581787;;;;;
1612186611.3691344,1053,-1.4033411741256714;;;;;
1612186612.1641624,1057,-1.3855775594711304;;;;;
1612186612.458348,1059,-1.0290217399597168;;;;;
1612186614.6775157,1069,-1.2693676948547363;;;;;
1612186615.3178043,1071,-1.1003828048706055;;;;;
1612186616.6478608,1077,-1.6652379035949707;;;;;
1612186617.6751666,1082,-1.4185502529144287;;;;;
1612186618.4101672,1086,-1.0749187469482422;;;;;
1612186620.7528796,1097,-1.0941239595413208;;;;;
1612186621.5687282,1101,-1.2405012845993042;;;;;
1612186623.1563852,1109,-2.430433988571167;;;;;
1612186624.7311308,1116,-1.5877962112426758;;;;;
1612186625.0682292,1118,-3.1573517322540283;;;;;
1612186625.6161737,1121,-2.4342093467712402;;;;;
1612186629.5823312,1143,-3.05544376373291;;;;;
1612186631.8911598,1155,-0.9608989953994751;;;;;
1612186632.4017448,1157,-1.602469563484192;;;;;
1612186632.8375473,1159,-2.501194715499878;;;;;
1612186633.1457543,1161,-1.218643069267273;;;;;
1612186633.4538987,1163,-1.6530193090438843;;;;;
1612186633.7710526,1165,-1.2461073398590088;;;;;
1612186634.4093838,1169,-1.2689855098724365;;;;;
1612186635.549473,1174,-1.1518747806549072;;;;;
1612186636.7462807,1181,-1.0282827615737915;;;;;
1612186637.1910863,1183,-1.6783630847930908;;;;;
1612186639.1249173,1190,-1.4680488109588623;;;;;
1612186640.2828224,1196,-1.4873944520950317;;;;;
1612186641.5264962,1203,-1.8402903079986572;;;;;
1612186642.759227,1209,-1.3930580615997314;;;;;
1612186643.0462146,1211,-1.1045222282409668;;;;;
1612186643.69847,1213,-1.430799961090088;;;;;
1612186643.9936888,1214,-2.830799102783203;;;;;
1612186644.3607078,1216,-1.2838451862335205;;;;;
1612186645.0128653,1220,-0.9095167517662048;;;;;
1612186645.0128653,1221,-2.811094045639038;;;;;
1612186645.3619444,1223,-1.630301594734192;;;;;
1612186646.477968,1229,-2.0221030712127686;;;;;
1612186646.793102,1231,-1.5456290245056152;;;;;
