Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612286951.0118191,13,-0.9969503879547119;;;;;-1.937102595
1612286951.4995139,15,-3.068753242492676;;;;;
1612286953.1707973,23,-1.8161591291427612;;;;;
1612286953.6385376,25,-1.7291069030761719;;;;;
1612286954.3027475,28,-2.496818780899048;;;;;
1612286954.7565885,30,-2.015204668045044;;;;;
1612286955.277143,32,-1.747600793838501;;;;;
1612286957.0936997,38,-1.9476187229156494;;;;;
1612286957.5046024,39,-2.5595450401306152;;;;;
1612286958.1309268,41,-1.91080904006958;;;;;
1612286960.2466311,49,-1.9768033027648926;;;;;
1612286963.7562497,64,-1.2419097423553467;;;;;
1612286964.2349694,66,-1.9365208148956299;;;;;
1612286965.109632,70,-1.1615376472473145;;;;;
1612286966.8662024,78,-1.5675914287567139;;;;;
1612286967.854192,82,-2.0462324619293213;;;;;
1612286968.9253042,86,-1.3996878862380981;;;;;
1612286969.526503,88,-1.1413782835006714;;;;;
1612286970.610602,92,-2.0707643032073975;;;;;
1612286971.677375,96,-1.8688405752182007;;;;;
1612286972.2647712,98,-1.637939214706421;;;;;
1612286973.7114289,104,-1.8483896255493164;;;;;
1612286974.1487532,106,-1.8989280462265015;;;;;
1612286974.5764737,108,-2.003953218460083;;;;;
1612286974.8716927,110,-2.9426841735839844;;;;;
1612286975.555865,112,-1.1084511280059814;;;;;
1612286976.5183165,116,-2.5149025917053223;;;;;
1612286977.1196835,118,-1.6498985290527344;;;;;
1612286978.3005574,122,-1.5544047355651855;;;;;
1612286979.3410296,126,-1.7968859672546387;;;;;
1612286979.8145142,128,-1.974294900894165;;;;;
1612286980.2613325,130,-1.046663761138916;;;;;
1612286980.8567293,132,-1.9399832487106323;;;;;
1612286982.467424,138,-1.7870171070098877;;;;;
1612286982.65593,139,-2.475728750228882;;;;;
1612286983.253351,141,-1.6561949253082275;;;;;
1612286983.8347926,143,-1.5830769538879395;;;;;
1612286985.904814,153,-1.9270505905151367;;;;;
1612286988.057717,162,-1.4753793478012085;;;;;
1612286988.5134995,164,-1.1873738765716553;;;;;
1612286988.9992263,166,-1.1615192890167236;;;;;
1612286989.688972,168,-1.4715759754180908;;;;;
1612286989.8774793,169,-2.449843168258667;;;;;
1612286990.561626,171,-1.7580444812774658;;;;;
1612286992.708886,180,-1.7023036479949951;;;;;
1612286996.096855,194,-1.549446702003479;;;;;
1612286997.5393076,200,-1.1204854249954224;;;;;
1612286998.1287317,202,-1.9050767421722412;;;;;
1612287000.7975488,214,-1.7385395765304565;;;;;
1612287002.1444125,220,-1.2246981859207153;;;;;
1612287003.0563946,224,-1.6213974952697754;;;;;
1612287003.6517713,226,-1.555770754814148;;;;;
1612287003.9330356,227,-2.527007818222046;;;;;
1612287005.777122,234,-1.7651301622390747;;;;;
1612287006.3643901,236,-1.8989620208740234;;;;;
1612287006.895501,238,-1.534042477607727;;;;;
1612287008.657184,244,-1.5249536037445068;;;;;
1612287009.2556148,246,-1.9664366245269775;;;;;
1612287012.879921,260,-1.8399702310562134;;;;;
1612287013.9411387,264,-1.6883890628814697;;;;;
1612287014.8736305,268,-1.7576178312301636;;;;;
1612287015.48209,270,-1.9543991088867188;;;;;
1612287015.9528286,272,-1.6518127918243408;;;;;
1612287016.2679982,274,-1.2836084365844727;;;;;
1612287018.1220303,281,-2.472212314605713;;;;;
1612287019.0146444,285,-3.240523338317871;;;;;
1612287020.460185,290,-1.4771275520324707;;;;;
1612287020.9748034,292,-1.6914176940917969;;;;;
1612287021.5662227,294,-2.0426361560821533;;;;;
1612287022.5366287,297,-2.446155309677124;;;;;
1612287022.8148863,298,-2.4605355262756348;;;;;
1612287022.8986952,299,-2.444037914276123;;;;;
1612287024.1702623,305,-1.2305889129638672;;;;;
1612287025.4358804,309,-1.0548648834228516;;;;;
1612287025.6243763,310,-2.450559377670288;;;;;
1612287026.3614173,314,-3.3379056453704834;;;;;
1612287026.790261,316,-1.9032269716262817;;;;;
1612287028.565515,322,-1.6639522314071655;;;;;
1612287030.6210194,330,-1.2600822448730469;;;;;
1612287031.087801,332,-2.0437896251678467;;;;;
1612287031.5116997,334,-1.1765706539154053;;;;;
1612287032.6799686,338,-2.171199321746826;;;;;
1612287034.4372728,344,-1.0543017387390137;;;;;
1612287035.5672507,348,-1.7474639415740967;;;;;
1612287036.1400054,350,-1.6472432613372803;;;;;
1612287037.313833,354,-1.8714207410812378;;;;;
1612287038.1376958,357,-2.4920637607574463;;;;;
1612287038.8049126,359,-1.5631049871444702;;;;;
1612287041.1664019,370,-3.5051956176757812;;;;;
1612287044.5041394,383,-2.4944913387298584;;;;;
1612287044.9888449,385,-1.3492889404296875;;;;;
1612287045.4576228,387,-1.861207365989685;;;;;
1612287047.4887812,395,-1.589120626449585;;;;;
1612287048.853102,400,-0.9506444931030273;;;;;
1612287050.5615351,406,-1.767775535583496;;;;;
1612287051.0133293,408,-1.2012189626693726;;;;;
1612287052.3347955,413,-2.4425485134124756;;;;;
1612287052.7806044,415,-1.9155559539794922;;;;;
1612287053.6891773,418,-2.468173027038574;;;;;
1612287054.165929,420,-1.2167019844055176;;;;;
1612287054.6336505,422,-1.1550376415252686;;;;;
1612287055.308906,425,-2.451555013656616;;;;;
1612287056.870731,431,-1.927839994430542;;;;;
1612287057.3364859,433,-1.3169771432876587;;;;;
1612287057.798284,435,-1.1081066131591797;;;;;
1612287059.253387,440,-2.4310531616210938;;;;;
1612287061.0093873,446,-1.112365484237671;;;;;
1612287063.1416144,454,-1.509194254875183;;;;;
1612287064.4022198,458,-2.285248279571533;;;;;
1612287065.1901388,461,-1.7084357738494873;;;;;
1612287065.6538596,463,-1.5212782621383667;;;;;
1612287068.385604,473,-1.6266217231750488;;;;;
1612287069.5664437,477,-2.4216151237487793;;;;;
1612287070.2496188,479,-2.020444869995117;;;;;
1612287070.4371169,480,-2.421412944793701;;;;;
1612287071.0235498,482,-1.4628207683563232;;;;;
1612287071.897582,486,-0.8883650302886963;;;;;
1612287074.1206152,494,-1.9167375564575195;;;;;
1612287075.289521,498,-1.2512882947921753;;;;;
1612287076.3285854,502,-1.7003467082977295;;;;;
1612287077.0915763,506,-3.0512609481811523;;;;;
1612287079.4731789,516,-1.9158365726470947;;;;;
1612287080.6508338,520,-2.1183366775512695;;;;;
1612287082.6335335,528,-1.9208687543869019;;;;;
1612287085.553752,538,-1.7430391311645508;;;;;
1612287086.6138945,542,-1.3571728467941284;;;;;
1612287087.1943424,544,-1.3116823434829712;;;;;
1612287089.8991854,554,-1.3829996585845947;;;;;
1612287090.3659387,556,-1.703858733177185;;;;;
1612287090.9458828,558,-1.8898584842681885;;;;;
1612287091.873428,562,-3.118075132369995;;;;;
1612287092.4588718,564,-1.4767028093338013;;;;;
1612287093.0433109,566,-1.8393607139587402;;;;;
1612287095.3401384,574,-1.1988449096679688;;;;;
1612287095.688208,576,-4.002922534942627;;;;;
1612287096.7623382,580,-1.695906400680542;;;;;
1612287097.9322102,584,-2.5420422554016113;;;;;
1612287099.9737682,591,-2.06904935836792;;;;;
1612287100.4305627,593,-1.697603702545166;;;;;
1612287100.8703556,595,-2.9566664695739746;;;;;
1612287101.4727693,597,-1.2051938772201538;;;;;
1612287102.5309167,601,-1.7230701446533203;;;;;
1612287103.7067735,606,-1.917838215827942;;;;;
1612287104.2922332,608,-1.801943063735962;;;;;
1612287104.7639751,610,-1.6123590469360352;;;;;
1612287106.3876395,616,-1.0958149433135986;;;;;
1612287106.8613417,618,-2.0049803256988525;;;;;
1612287107.5963395,621,-2.4820282459259033;;;;;
1612287111.394122,633,-1.792863130569458;;;;;
1612287112.218459,636,-1.3191473484039307;;;;;
1612287113.988714,642,-1.766457200050354;;;;;
1612287114.1792302,643,-2.4738283157348633;;;;;
1612287115.358089,647,-1.8097164630889893;;;;;
1612287115.8268256,649,-1.8867123126983643;;;;;
1612287118.2393796,659,-1.9599535465240479;;;;;
1612287118.8227928,661,-1.684006929397583;;;;;
1612287119.9887078,665,-1.9245116710662842;;;;;
1612287121.046848,669,-3.0457632541656494;;;;;
1612287121.6262994,671,-1.8130697011947632;;;;;
1612287122.0920544,673,-1.9884848594665527;;;;;
1612287123.8454099,679,-1.571727991104126;;;;;
1612287126.053466,687,-1.0865905284881592;;;;;
1612287126.634912,689,-1.7660720348358154;;;;;
1612287127.7868505,693,-1.8872690200805664;;;;;
1612287128.2845182,695,-1.7251648902893066;;;;;
1612287129.3298538,699,-1.6532762050628662;;;;;
1612287131.4731236,707,-2.016605854034424;;;;;
1612287132.0695312,709,-1.2961487770080566;;;;;
1612287132.6240485,711,-3.617504358291626;;;;;
1612287133.6622975,715,-1.909700632095337;;;;;
1612287134.1061423,717,-3.126415252685547;;;;;
1612287136.05053,724,-1.6977367401123047;;;;;
1612287136.5193014,726,-1.3238803148269653;;;;;
1612287137.1087332,728,-1.6878843307495117;;;;;
1612287138.2716386,732,-1.6292839050292969;;;;;
1612287138.8021748,734,-3.8462934494018555;;;;;
1612287139.399612,736,-2.2812113761901855;;;;;
1612287139.9870079,738,-1.8543275594711304;;;;;
1612287144.9547286,755,-1.4481117725372314;;;;;
1612287145.1512132,756,-2.4355595111846924;;;;;
1612287147.9903636,766,-1.733410120010376;;;;;
1612287151.5378811,780,-1.7653930187225342;;;;;
1612287151.9737163,782,-3.300426483154297;;;;;
1612287154.156376,790,-2.031970977783203;;;;;
1612287154.6361074,792,-1.876072645187378;;;;;
1612287155.2095604,794,-1.4683518409729004;;;;;
1612287156.253998,798,-2.305419921875;;;;;
1612287157.190833,802,-1.533846378326416;;;;;
1612287159.4857879,810,-1.6083884239196777;;;;;
1612287163.947373,827,-3.351288080215454;;;;;
1612287164.4759908,829,-1.714860439300537;;;;;
1612287164.9576707,831,-1.7354459762573242;;;;;
1612287165.5330212,833,-1.7830619812011719;;;;;
1612287167.1207786,839,-3.383355140686035;;;;;
1612287168.4446552,844,-1.2595386505126953;;;;;
1612287169.971574,850,-1.8461370468139648;;;;;
1612287173.3781345,863,-3.1776504516601562;;;;;
1612287173.9575863,865,-1.6414527893066406;;;;;
1612287174.5439847,867,-2.222564220428467;;;;;
1612287175.1234598,869,-1.5907392501831055;;;;;
1612287175.925293,873,-3.3883261680603027;;;;;
1612287176.5012784,875,-1.0847220420837402;;;;;
1612287177.935164,881,-1.296080231666565;;;;;
1612287178.51761,883,-2.2244606018066406;;;;;
1612287178.945371,885,-3.1187140941619873;;;;;
1612287179.6824002,888,-2.533830165863037;;;;;
1612287180.6628308,892,-1.8782083988189697;;;;;
1612287181.253768,894,-1.2314362525939941;;;;;
1612287183.4558988,902,-1.2306339740753174;;;;;
1612287187.0642817,916,-1.6548362970352173;;;;;
1612287188.70651,922,-1.2939201593399048;;;;;
1612287189.28898,924,-1.0721626281738281;;;;;
1612287190.32731,928,-1.2905865907669067;;;;;
1612287191.4969335,932,-1.2503650188446045;;;;;
1612287192.9368842,937,-1.8832480907440186;;;;;
1612287198.3621092,958,-2.030877113342285;;;;;
1612287200.0246696,964,-1.8460006713867188;;;;;
1612287200.6539829,966,-1.4371833801269531;;;;;
1612287201.1407137,968,-3.2441766262054443;;;;;
1612287202.14507,972,-1.9310510158538818;;;;;
1612287203.330896,976,-1.8186936378479004;;;;;
1612287203.802534,978,-1.5696423053741455;;;;;
1612287204.9913292,982,-1.5670452117919922;;;;;
