Wall time,Step,Value;;;;"Average Reward; Last 50 Episodes:";
1612190812.1563735,963,-1.1867831945419312;;;;;
1612190813.5540557,973,-1.2263543605804443;;;;;
1612190814.6869888,981,-1.1319204568862915;;;;;
1612190814.97004,983,-1.2180078029632568;;;;;
1612190816.3992512,993,-1.189867377281189;;;;;
1612190816.9677005,997,-1.0669195652008057;;;;;
1612190817.257448,999,-1.1208348274230957;;;;;
1612190817.814992,1003,-1.1781976222991943;;;;;
1612190818.3837194,1007,-1.180534839630127;;;;;
1612190818.6562943,1009,-1.1506364345550537;;;;;
1612190820.0793648,1019,-1.2199959754943848;;;;;
1612190820.39657,1021,-1.1821799278259277;;;;;
1612190822.562541,1035,-1.163894772529602;;;;;
1612190823.1960382,1039,-1.2710349559783936;;;;;
1612190824.9401944,1051,-1.1474788188934326;;;;;
1612190825.511634,1055,-1.2305818796157837;;;;;
1612190827.0473356,1065,-1.2315410375595093;;;;;
1612190828.5506656,1075,-1.1142940521240234;;;;;
1612190829.1163163,1079,-1.12468421459198;;;;;
1612190832.582526,1103,-1.0889755487442017;;;;;
1612190834.6543639,1117,-1.1752233505249023;;;;;
1612190834.9675913,1119,-1.2502752542495728;;;;;
1612190835.5670674,1123,-1.119348406791687;;;;;
1612190835.8423634,1125,-1.2514259815216064;;;;;
1612190836.1266055,1127,-1.184204339981079;;;;;
1612190836.4151952,1129,-1.2199363708496094;;;;;
1612190837.0542164,1133,-1.1585338115692139;;;;;
1612190837.9412174,1139,-1.1276884078979492;;;;;
1612190839.0587287,1147,-1.2488107681274414;;;;;
1612190840.4731917,1157,-1.2151178121566772;;;;;
1612190841.3229582,1163,-1.092461109161377;;;;;
1612190842.502073,1171,-1.0961717367172241;;;;;
1612190843.3926978,1177,-1.1557594537734985;;;;;
1612190843.6639488,1179,-1.1073620319366455;;;;;
1612190844.2104774,1183,-1.2151618003845215;;;;;
1612190844.4787922,1185,-1.2940466403961182;;;;;
1612190845.325497,1191,-1.2469618320465088;;;;;
1612190845.598769,1193,-1.1458840370178223;;;;;
1612190846.4804099,1199,-1.252822995185852;;;;;
1612190846.7656841,1201,-1.086523413658142;;;;;
1612190848.2027078,1211,-1.1958677768707275;;;;;
1612190848.4789655,1213,-1.0420057773590088;;;;;
1612190850.4551632,1227,-1.2367582321166992;;;;;
1612190851.4099348,1233,-1.2528716325759888;;;;;
1612190852.546637,1241,-1.0855189561843872;;;;;
1612190853.4004183,1247,-1.2127039432525635;;;;;
1612190853.9788675,1251,-1.1150727272033691;;;;;
1612190854.5802593,1255,-1.1298277378082275;;;;;
1612190855.7381659,1263,-1.2019047737121582;;;;;
1612190856.8834448,1271,-1.0736504793167114;;;;;
1612190857.7431045,1277,-1.1288418769836426;;;;;
1612190858.0303695,1279,-1.1428828239440918;;;;;
1612190858.3267262,1281,-1.2114218473434448;;;;;
1612190858.6309142,1283,-1.0584514141082764;;;;;
1612190860.3544095,1295,-1.1311190128326416;;;;;
1612190862.162296,1307,-1.1605846881866455;;;;;
1612190862.7809875,1311,-1.1211127042770386;;;;;
1612190863.0802362,1313,-1.2130779027938843;;;;;
1612190864.272374,1321,-1.2598347663879395;;;;;
1612190865.3993325,1329,-1.059090256690979;;;;;
