Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612301177.0170858,742,-1.11637544631958;;;;;
1612301177.0170858,744,-1.5689866542816162;;;;;
1612301181.0714824,774,-1.2342324256896973;;;;;
1612301186.0787969,788,-1.0946118831634521;;;;;
1612301186.0787969,789,-2.4886374473571777;;;;;
1612301186.0799122,798,-1.3035759925842285;;;;;
1612301191.7259758,800,-1.4659719467163086;;;;;
1612301191.7259758,803,-1.723012924194336;;;;;
1612301191.7259758,806,-2.4845564365386963;;;;;
1612301191.7269742,814,-1.126291036605835;;;;;
1612301196.984648,832,-1.039362907409668;;;;;
1612301196.984648,835,-2.4173660278320312;;;;;
1612301196.984648,837,-1.1525160074234009;;;;;
1612301202.892806,843,-0.9293857216835022;;;;;
1612301202.892806,855,-1.5889962911605835;;;;;
1612301207.909912,871,-1.7390835285186768;;;;;
1612301207.909912,873,-1.0251604318618774;;;;;
1612301207.909912,878,-2.4771010875701904;;;;;
1612301207.9109082,879,-2.5140206813812256;;;;;
1612301212.9943757,887,-1.1884654760360718;;;;;
1612301212.9943757,896,-1.6012099981307983;;;;;
1612301212.9943757,898,-1.2324092388153076;;;;;
1612301217.7327664,917,-1.3795444965362549;;;;;
1612301222.1400774,922,-1.581805944442749;;;;;
1612301222.1400774,924,-1.9093971252441406;;;;;
1612301222.1400774,928,-1.3009929656982422;;;;;
1612301222.1410742,932,-1.1706008911132812;;;;;
1612301222.1410742,938,-1.4905247688293457;;;;;
1612301227.0642247,957,-2.565061569213867;;;;;
1612301231.8103728,967,-1.9175078868865967;;;;;
1612301231.8103728,971,-0.9832733273506165;;;;;
1612301231.8113666,976,-2.515242099761963;;;;;
1612301236.6232212,980,-1.2182698249816895;;;;;
1612301236.6232212,989,-1.1823707818984985;;;;;
1612301236.6232212,991,-1.5129327774047852;;;;;
1612301241.5862303,1003,-1.0724791288375854;;;;;
1612301241.5862303,1006,-2.7871286869049072;;;;;
1612301241.5862303,1008,-3.2768466472625732;;;;;
1612301241.5862303,1012,-1.573087453842163;;;;;
1612301241.5862303,1013,-2.4103031158447266;;;;;
1612301241.587227,1019,-1.0237592458724976;;;;;
1612301246.788326,1023,-1.2689886093139648;;;;;
1612301246.7892964,1032,-1.5924713611602783;;;;;
1612301246.7892964,1034,-1.4361921548843384;;;;;
1612301246.7892964,1035,-2.5046465396881104;;;;;
1612301251.5813286,1047,-1.0626479387283325;;;;;
1612301251.5813286,1050,-1.1100900173187256;;;;;
1612301251.5828235,1058,-1.4502060413360596;;;;;
1612301255.7451117,1060,-1.1333105564117432;;;;;
1612301255.7451117,1062,-0.9180501103401184;;;;;
1612301255.7451117,1070,-1.264862298965454;;;;;
1612301255.7461367,1077,-1.2959198951721191;;;;;
1612301255.7471066,1079,-1.0441683530807495;;;;;
1612301260.5517516,1084,-1.6415002346038818;;;;;
1612301260.5527813,1087,-1.0528851747512817;;;;;
1612301260.5527813,1089,-1.6714904308319092;;;;;
1612301260.5527813,1090,-2.4574012756347656;;;;;
1612301260.5527813,1092,-1.0360851287841797;;;;;
1612301260.5527813,1094,-1.5399175882339478;;;;;
1612301260.5527813,1096,-1.7163777351379395;;;;;
1612301265.1400123,1100,-1.0285747051239014;;;;;
1612301265.1410365,1102,-1.33612060546875;;;;;
1612301265.1410365,1112,-1.2510812282562256;;;;;
1612301265.1410365,1114,-1.7514134645462036;;;;;
1612301270.1404328,1121,-1.1722145080566406;;;;;
1612301270.1404328,1127,-1.6123535633087158;;;;;
1612301270.1404328,1131,-1.316620945930481;;;;;
1612301274.2950466,1142,-3.2222976684570312;;;;;
1612301274.2950466,1146,-1.5126094818115234;;;;;
1612301274.2950466,1155,-1.595325231552124;;;;;
1612301278.956643,1163,-1.265005350112915;;;;;
