Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612284396.9805217,140,-2.028231620788574;;;;;-1.540496081
1612284396.9805217,141,-2.849576711654663;;;;;
1612284396.981551,150,-1.0708414316177368;;;;;
1612284396.981551,155,-2.5650129318237305;;;;;
1612284396.981551,157,-1.6581029891967773;;;;;
1612284396.981551,163,-1.6398022174835205;;;;;
1612284396.9825542,167,-1.5063424110412598;;;;;
1612284396.9825542,173,-2.8077569007873535;;;;;
1612284396.9845517,195,-1.4895720481872559;;;;;
1612284396.985548,203,-1.8407602310180664;;;;;
1612284396.985548,207,-0.9815738201141357;;;;;
1612284396.985548,210,-1.2403287887573242;;;;;
1612284396.985548,212,-3.056366443634033;;;;;
1612284396.985548,216,-1.6083509922027588;;;;;
1612284396.986986,227,-1.8170818090438843;;;;;
1612284396.986986,229,-1.2790969610214233;;;;;
1612284396.986986,231,-1.836667776107788;;;;;
1612284396.986986,232,-2.5689406394958496;;;;;
1612284396.986986,234,-1.4811320304870605;;;;;
1612284396.9880161,249,-1.8447606563568115;;;;;
1612284396.9880161,254,-1.438549280166626;;;;;
1612284423.4819188,260,-1.2736871242523193;;;;;
1612284423.4829469,262,-1.0446181297302246;;;;;
1612284423.4829469,264,-1.7539008855819702;;;;;
1612284423.4829469,266,-1.7769296169281006;;;;;
1612284423.483947,276,-1.5420942306518555;;;;;
1612284423.483947,291,-1.7523874044418335;;;;;
1612284423.483947,293,-1.520406723022461;;;;;
1612284423.4859385,304,-1.4805047512054443;;;;;
1612284423.4869158,318,-2.4042680263519287;;;;;
1612284423.4869158,324,-1.7258355617523193;;;;;
1612284423.4869158,326,-1.3536694049835205;;;;;
1612284423.4879332,339,-1.6444817781448364;;;;;
1612284423.4879332,345,-1.0026237964630127;;;;;
1612284423.4879332,349,-1.59965181350708;;;;;
1612284423.4895504,364,-2.4125819206237793;;;;;
1612284423.4905832,370,-1.460353136062622;;;;;
1612284423.4905832,372,-1.6231698989868164;;;;;
1612284451.7242827,389,-2.444833993911743;;;;;
1612284451.7242827,393,-1.7292100191116333;;;;;
1612284451.7242827,395,-1.0686793327331543;;;;;
1612284451.7242827,396,-2.555295467376709;;;;;
1612284451.7262774,408,-0.9510937929153442;;;;;
1612284451.7262774,417,-0.9675681591033936;;;;;
1612284451.7272987,421,-1.6721515655517578;;;;;
1612284451.7272987,423,-1.7419965267181396;;;;;
1612284451.7272987,431,-1.8228861093521118;;;;;
1612284451.7282727,440,-1.990020990371704;;;;;
1612284451.7282727,442,-1.4273135662078857;;;;;
1612284451.7292695,447,-1.4473764896392822;;;;;
1612284451.7302666,459,-1.5585038661956787;;;;;
1612284451.7302666,461,-1.327402114868164;;;;;
1612284451.7302666,464,-2.5114097595214844;;;;;
1612284451.7302666,470,-1.719992756843567;;;;;
1612284451.7302666,474,-1.7255964279174805;;;;;
1612284451.7312913,476,-1.512066125869751;;;;;
1612284451.7312913,479,-2.3817667961120605;;;;;
1612284451.7312913,483,-1.114186406135559;;;;;
1612284451.7312913,485,-1.9125943183898926;;;;;
1612284451.7328308,498,-1.220160961151123;;;;;
1612284481.0798204,513,-1.798576831817627;;;;;
1612284481.0808167,515,-1.521376609802246;;;;;
1612284481.0808167,517,-1.1856333017349243;;;;;
1612284481.0808167,524,-1.2999420166015625;;;;;
1612284481.081815,542,-1.674724817276001;;;;;
1612284481.081815,543,-2.478975772857666;;;;;
1612284481.081815,547,-1.3848891258239746;;;;;
1612284481.0828328,555,-1.1666948795318604;;;;;
1612284481.0838277,560,-1.0861191749572754;;;;;
1612284481.0838277,562,-1.5191749334335327;;;;;
1612284481.0838277,563,-2.8005144596099854;;;;;
1612284481.0838277,568,-3.2331838607788086;;;;;
1612284481.0858214,591,-1.392914056777954;;;;;
1612284481.0858214,601,-1.0727770328521729;;;;;
1612284481.0868192,607,-2.99477219581604;;;;;
1612284481.0868192,610,-2.4449093341827393;;;;;
1612284481.0868192,612,-1.052893877029419;;;;;
1612284481.0868192,616,-3.3239190578460693;;;;;
1612284481.0878096,624,-1.737976312637329;;;;;
1612284481.0878096,629,-0.9815930128097534;;;;;
1612284481.0888138,633,-1.1850342750549316;;;;;
1612284509.2805388,641,-2.4306788444519043;;;;;
1612284509.2825541,666,-1.2960383892059326;;;;;
1612284509.28355,676,-1.7908287048339844;;;;;
1612284509.28355,678,-0.9173537492752075;;;;;
1612284509.28355,686,-1.559464931488037;;;;;
1612284509.2845483,688,-1.6987566947937012;;;;;
1612284509.2845483,696,-1.403323769569397;;;;;
1612284509.2855256,698,-1.6993257999420166;;;;;
1612284509.2855256,702,-1.549340009689331;;;;;
1612284509.2855256,708,-1.426388144493103;;;;;
1612284509.286542,717,-1.4778038263320923;;;;;
1612284509.286542,719,-1.5099742412567139;;;;;
1612284509.286542,721,-1.8439252376556396;;;;;
1612284509.286542,730,-1.8288556337356567;;;;;
1612284509.286542,732,-1.793957233428955;;;;;
1612284509.2875204,733,-2.4948885440826416;;;;;
1612284509.2875204,738,-2.427082061767578;;;;;
1612284509.2895153,754,-1.159564733505249;;;;;
1612284509.2895153,757,-2.783083438873291;;;;;
1612284537.3846612,769,-3.1454899311065674;;;;;
1612284537.3856921,779,-2.866340160369873;;;;;
1612284537.3856921,781,-1.5409759283065796;;;;;
1612284537.3868704,793,-2.9009294509887695;;;;;
1612284537.3868704,798,-2.5164530277252197;;;;;
1612284537.3879023,806,-1.8399865627288818;;;;;
1612284537.3879023,814,-1.550858736038208;;;;;
1612284537.3879023,817,-1.8269250392913818;;;;;
1612284537.3888674,825,-2.9348297119140625;;;;;
1612284537.3888674,826,-2.403536796569824;;;;;
1612284537.3888674,828,-1.222322702407837;;;;;
1612284537.3898647,831,-2.417689323425293;;;;;
1612284537.3898647,841,-1.2235736846923828;;;;;
1612284537.3902743,851,-1.2824475765228271;;;;;
1612284537.391301,853,-1.031449556350708;;;;;
1612284537.391301,855,-1.9645049571990967;;;;;
1612284537.3936493,884,-1.6161953210830688;;;;;
1612284564.78175,897,-1.2690584659576416;;;;;
1612284564.78175,908,-1.6425788402557373;;;;;
1612284564.78175,910,-1.3753302097320557;;;;;
1612284564.78175,913,-2.0387091636657715;;;;;
1612284564.7827425,917,-1.5246670246124268;;;;;
1612284564.7827425,925,-3.160632371902466;;;;;
1612284564.7847373,941,-1.210542917251587;;;;;
1612284564.7847373,945,-1.557176947593689;;;;;
1612284564.7847373,946,-2.4363114833831787;;;;;
1612284564.7857382,952,-1.073493242263794;;;;;
1612284564.7857382,963,-1.3546926975250244;;;;;
1612284564.7867317,977,-1.6246285438537598;;;;;
1612284564.7867317,979,-1.6001510620117188;;;;;
1612284564.7867317,985,-1.5201085805892944;;;;;
1612284564.7877288,986,-2.485769271850586;;;;;
1612284564.7886944,1002,-1.1313538551330566;;;;;
1612284564.7886944,1004,-1.1642770767211914;;;;;
1612284564.790689,1022,-3.3768718242645264;;;;;
1612284592.3456547,1027,-2.460845708847046;;;;;
1612284592.3456547,1029,-0.9886823892593384;;;;;
1612284592.3456547,1033,-1.1424944400787354;;;;;
1612284592.3456547,1037,-1.1314486265182495;;;;;
1612284592.3476522,1060,-2.476862907409668;;;;;
1612284592.3486512,1070,-1.1173017024993896;;;;;
1612284592.3486512,1073,-1.291158676147461;;;;;
1612284592.3496468,1078,-1.1644967794418335;;;;;
1612284592.3496468,1081,-2.5080323219299316;;;;;
1612284592.3496468,1089,-1.849923849105835;;;;;
1612284592.3496468,1091,-1.5373377799987793;;;;;
1612284592.3506465,1101,-2.5035502910614014;;;;;
1612284592.3506465,1105,-1.183600664138794;;;;;
1612284592.3506465,1107,-0.9561405181884766;;;;;
1612284592.351642,1111,-1.689695119857788;;;;;
1612284592.351642,1113,-1.0272421836853027;;;;;
1612284592.352639,1119,-1.0741939544677734;;;;;
1612284592.352639,1123,-1.7604397535324097;;;;;
1612284592.3536553,1132,-1.6010571718215942;;;;;
1612284592.3536553,1134,-1.579117774963379;;;;;
1612284592.354684,1150,-1.0806701183319092;;;;;
1612284622.747513,1154,-1.9133145809173584;;;;;
1612284622.747513,1161,-1.6553287506103516;;;;;
1612284622.747513,1163,-1.4286881685256958;;;;;
1612284622.747513,1165,-1.6473747491836548;;;;;
1612284622.7484808,1173,-1.996614694595337;;;;;
1612284622.7494783,1181,-1.6830344200134277;;;;;
1612284622.7494783,1183,-1.6504899263381958;;;;;
1612284622.7494783,1188,-1.6741408109664917;;;;;
1612284622.7505107,1191,-2.482294797897339;;;;;
1612284622.7505107,1194,-3.3375701904296875;;;;;
1612284622.7505107,1196,-1.5328805446624756;;;;;
1612284622.7505107,1198,-1.2815885543823242;;;;;
1612284622.7505107,1200,-1.6216070652008057;;;;;
1612284622.7505107,1204,-1.7069737911224365;;;;;
1612284622.7505107,1206,-1.9169931411743164;;;;;
1612284622.7515059,1216,-1.075218915939331;;;;;
1612284622.7515059,1218,-1.5469787120819092;;;;;
1612284622.7525055,1226,-0.9736260175704956;;;;;
1612284622.7525055,1231,-1.4871695041656494;;;;;
1612284622.7535017,1235,-1.5035486221313477;;;;;
1612284622.7544966,1243,-2.5288190841674805;;;;;
1612284622.7544966,1247,-1.031400203704834;;;;;
1612284622.7544966,1257,-1.3726143836975098;;;;;
1612284622.7554908,1264,-2.4262564182281494;;;;;
1612284622.7554908,1266,-1.881415605545044;;;;;
1612284622.7554908,1270,-1.1046483516693115;;;;;
1612284650.5624132,1290,-2.446168899536133;;;;;
1612284650.5634117,1304,-1.6422669887542725;;;;;
1612284650.5634117,1306,-1.8966617584228516;;;;;
1612284650.5634117,1309,-2.3985800743103027;;;;;
1612284650.5634117,1311,-1.7479959726333618;;;;;
1612284650.564427,1313,-1.2556216716766357;;;;;
1612284650.564427,1315,-1.328464388847351;;;;;
1612284650.564427,1319,-1.4947056770324707;;;;;
1612284650.5654266,1325,-1.705542802810669;;;;;
1612284650.5654266,1333,-1.7219860553741455;;;;;
1612284650.5654266,1335,-1.0689542293548584;;;;;
1612284650.566403,1341,-1.314946174621582;;;;;
1612284650.566403,1347,-1.0665996074676514;;;;;
1612284650.567401,1355,-1.6796519756317139;;;;;
1612284650.567401,1360,-1.5506538152694702;;;;;
1612284650.567401,1362,-1.0733205080032349;;;;;
1612284650.567401,1366,-1.679213523864746;;;;;
1612284650.567401,1368,-1.3658149242401123;;;;;
1612284650.567401,1372,-1.7868013381958008;;;;;
1612284650.5683982,1374,-3.4331512451171875;;;;;
1612284650.5683982,1376,-1.7864164113998413;;;;;
1612284650.5683982,1381,-1.3292244672775269;;;;;
1612284650.5683982,1383,-1.7669295072555542;;;;;
1612284650.5694213,1385,-1.1650309562683105;;;;;
1612284650.5694213,1389,-1.2559418678283691;;;;;
1612284650.5694213,1392,-2.0218310356140137;;;;;
1612284650.5703921,1394,-1.6604833602905273;;;;;
1612284650.5703921,1407,-3.0304760932922363;;;;;
1612284677.4880316,1413,-1.076742172241211;;;;;
1612284677.4890294,1421,-1.887643575668335;;;;;
1612284677.4890294,1426,-1.6358757019042969;;;;;
1612284677.4900584,1430,-1.8195500373840332;;;;;
1612284677.4900584,1433,-1.6015067100524902;;;;;
1612284677.4900584,1441,-1.2450675964355469;;;;;
1612284677.4910247,1449,-1.9441046714782715;;;;;
1612284677.4910247,1455,-1.9880739450454712;;;;;
1612284677.4910247,1457,-1.0120172500610352;;;;;
1612284677.4910247,1459,-3.0420899391174316;;;;;
1612284677.4920216,1461,-1.5620248317718506;;;;;
1612284677.4930189,1473,-1.6690154075622559;;;;;
1612284677.4930189,1485,-3.4264867305755615;;;;;
1612284677.4940524,1489,-1.6409242153167725;;;;;
1612284677.4940524,1491,-1.0240392684936523;;;;;
1612284677.4940524,1497,-1.2771825790405273;;;;;
1612284677.4940524,1503,-2.932893991470337;;;;;
1612284677.495014,1505,-1.5843689441680908;;;;;
1612284677.495014,1511,-0.9934715032577515;;;;;
1612284677.495014,1513,-1.5780854225158691;;;;;
1612284677.4960108,1514,-2.5274202823638916;;;;;
1612284677.4960108,1518,-1.1400038003921509;;;;;
1612284677.4960108,1522,-1.66290283203125;;;;;
1612284677.497008,1534,-1.6074100732803345;;;;;
1612284702.7735064,1540,-1.354974627494812;;;;;
1612284702.7735064,1542,-1.5159447193145752;;;;;
1612284702.7735064,1547,-1.5906472206115723;;;;;
1612284702.7735064,1549,-1.052183747291565;;;;;
1612284702.7745035,1551,-1.2722928524017334;;;;;
1612284702.7747154,1555,-1.6284050941467285;;;;;
1612284702.7747154,1556,-2.4611055850982666;;;;;
1612284702.7757158,1568,-1.3854546546936035;;;;;
1612284702.7767122,1576,-1.1359224319458008;;;;;
1612284702.7767122,1577,-2.46224045753479;;;;;
1612284702.7767122,1581,-1.2559270858764648;;;;;
1612284702.7767122,1584,-2.391618251800537;;;;;
1612284702.7767122,1588,-1.524667739868164;;;;;
1612284702.7767122,1590,-1.6592588424682617;;;;;
1612284702.7777095,1592,-1.2424989938735962;;;;;
1612284702.7777095,1594,-0.9071345329284668;;;;;
1612284702.7777095,1596,-1.184120774269104;;;;;
1612284702.7777095,1602,-1.1232751607894897;;;;;
1612284702.7777095,1606,-1.530677080154419;;;;;
1612284702.7777095,1610,-1.057785153388977;;;;;
1612284702.7787113,1616,-1.2546961307525635;;;;;
1612284702.7787113,1620,-3.0346808433532715;;;;;
1612284702.7787113,1622,-1.4898773431777954;;;;;
1612284702.779733,1624,-1.4078816175460815;;;;;
1612284702.7807028,1636,-1.2071661949157715;;;;;
1612284702.7807028,1638,-1.6449995040893555;;;;;
1612284702.7807028,1642,-0.9899583458900452;;;;;
1612284702.7807028,1646,-2.7913968563079834;;;;;
1612284702.7816987,1654,-1.1874667406082153;;;;;
1612284702.7816987,1659,-1.2098660469055176;;;;;
1612284731.0598962,1665,-1.2298548221588135;;;;;
1612284731.0598962,1667,-1.280760407447815;;;;;
1612284731.0598962,1671,-1.7498784065246582;;;;;
1612284731.0598962,1675,-1.924734115600586;;;;;
1612284731.0608938,1678,-2.505800247192383;;;;;
1612284731.0619183,1687,-1.264512538909912;;;;;
1612284731.0619183,1693,-1.9183545112609863;;;;;
1612284731.0619183,1697,-1.7413734197616577;;;;;
1612284731.0649128,1722,-0.9834990501403809;;;;;
1612284731.0649128,1729,-1.1621211767196655;;;;;
1612284731.0649128,1733,-1.1190412044525146;;;;;
1612284731.0649128,1735,-1.743342399597168;;;;;
1612284731.065747,1740,-2.4828720092773438;;;;;
1612284731.066779,1744,-1.0665256977081299;;;;;
1612284731.066779,1746,-1.5733249187469482;;;;;
1612284731.066779,1751,-2.524453639984131;;;;;
1612284731.067745,1754,-2.4618215560913086;;;;;
1612284731.067745,1758,-1.1212646961212158;;;;;
1612284731.067745,1763,-1.804058313369751;;;;;
1612284731.067745,1766,-1.1907908916473389;;;;;
1612284731.067745,1767,-2.5209484100341797;;;;;
1612284731.0687416,1771,-1.048882246017456;;;;;
1612284731.069771,1778,-1.11264169216156;;;;;
1612284731.069771,1786,-1.5271992683410645;;;;;
1612284759.0274603,1798,-1.8259148597717285;;;;;
1612284759.0274603,1800,-1.148696780204773;;;;;
1612284759.0274603,1801,-2.468667984008789;;;;;
1612284759.0274603,1803,-1.1108921766281128;;;;;
1612284759.0274603,1807,-1.3597791194915771;;;;;
1612284759.0284555,1813,-1.0914268493652344;;;;;
1612284759.0284555,1814,-2.3808910846710205;;;;;
1612284759.0284555,1816,-1.6493654251098633;;;;;
1612284759.0284555,1822,-1.9084351062774658;;;;;
1612284759.0284555,1824,-1.5380580425262451;;;;;
1612284759.0284555,1826,-1.5643525123596191;;;;;
1612284759.0284555,1828,-1.624495029449463;;;;;
1612284759.0304527,1843,-1.2278954982757568;;;;;
1612284759.0304527,1845,-1.4427273273468018;;;;;
1612284759.0314183,1851,-1.6120696067810059;;;;;
1612284759.0314183,1865,-1.183121919631958;;;;;
1612284759.0324476,1871,-1.2605077028274536;;;;;
1612284759.0324476,1887,-1.5203310251235962;;;;;
1612284759.0334487,1889,-1.4104704856872559;;;;;
1612284759.0334487,1893,-1.2800405025482178;;;;;
1612284759.0334487,1894,-2.455467939376831;;;;;
1612284759.0334487,1895,-2.44809889793396;;;;;
1612284759.0344844,1901,-1.6052498817443848;;;;;
1612284759.0344844,1903,-1.6376526355743408;;;;;
1612284759.0354745,1907,-1.3381519317626953;;;;;
1612284759.0354745,1911,-1.0981301069259644;;;;;
1612284787.36325,1921,-1.5867265462875366;;;;;
1612284787.36325,1922,-2.448551654815674;;;;;
1612284787.36325,1930,-1.2692757844924927;;;;;
1612284787.36325,1932,-0.9572111368179321;;;;;
1612284787.36325,1934,-1.2134733200073242;;;;;
1612284787.36325,1936,-1.599170207977295;;;;;
1612284787.3642788,1942,-1.2907817363739014;;;;;
1612284787.3642788,1944,-1.0656131505966187;;;;;
1612284787.3642788,1946,-1.1662052869796753;;;;;
1612284787.3642788,1952,-1.4760339260101318;;;;;
1612284787.3652766,1953,-2.4481897354125977;;;;;
1612284787.3662424,1968,-0.9484731554985046;;;;;
1612284787.3662424,1976,-1.7468926906585693;;;;;
1612284787.3672392,1980,-3.5297718048095703;;;;;
1612284787.3672392,1984,-1.5880932807922363;;;;;
1612284787.3672392,1986,-2.056844711303711;;;;;
1612284787.3672392,1991,-2.3818812370300293;;;;;
1612284787.3682365,1997,-1.438392162322998;;;;;
1612284787.3682365,1999,-1.2373356819152832;;;;;
1612284787.3682365,2001,-1.7211179733276367;;;;;
1612284787.3682365,2003,-1.055080533027649;;;;;
1612284787.3682365,2009,-1.1084650754928589;;;;;
1612284787.3702319,2023,-2.794708728790283;;;;;
1612284787.3702319,2027,-1.1390562057495117;;;;;
1612284787.3702319,2031,-1.5676066875457764;;;;;
1612284787.371447,2035,-0.8921118974685669;;;;;
1612284787.371447,2037,-3.643115282058716;;;;;
1612284787.371447,2042,-1.6245369911193848;;;;;
1612284787.371447,2046,-1.3670806884765625;;;;;
1612284814.2322686,2050,-1.0009477138519287;;;;;
1612284814.2322686,2059,-1.1572296619415283;;;;;
1612284814.233231,2072,-1.788862943649292;;;;;
1612284814.233231,2074,-1.6856298446655273;;;;;
1612284814.2342644,2080,-1.2546923160552979;;;;;
1612284814.2342644,2084,-1.501739263534546;;;;;
1612284814.2352257,2094,-1.292217493057251;;;;;
1612284814.2352257,2095,-2.395869016647339;;;;;
1612284814.2352257,2098,-2.5001280307769775;;;;;
1612284814.2362547,2101,-1.7887818813323975;;;;;
1612284814.2362547,2109,-3.3501341342926025;;;;;
1612284814.2362547,2116,-1.4268063306808472;;;;;
1612284814.2372484,2119,-2.409764289855957;;;;;
1612284814.2382493,2128,-1.5668058395385742;;;;;
1612284814.2382493,2130,-1.61541748046875;;;;;
1612284814.2382493,2132,-1.4448542594909668;;;;;
1612284814.2392151,2146,-1.5196080207824707;;;;;
1612284814.2392151,2148,-1.5958693027496338;;;;;
1612284814.2402472,2160,-1.066558599472046;;;;;
1612284814.2402472,2167,-1.0205028057098389;;;;;
1612284814.2402472,2168,-2.4352197647094727;;;;;
1612284814.2402472,2170,-1.589775800704956;;;;;
1612284840.5286996,2188,-1.1319230794906616;;;;;
1612284840.529721,2192,-1.7871497869491577;;;;;
1612284840.5306942,2197,-1.267406702041626;;;;;
1612284840.5306942,2207,-2.4530117511749268;;;;;
1612284840.5306942,2209,-1.6702880859375;;;;;
1612284840.5317168,2216,-2.558112144470215;;;;;
1612284840.5317168,2221,-2.4033873081207275;;;;;
1612284840.5317168,2223,-1.5382287502288818;;;;;
1612284840.5317168,2225,-1.1359190940856934;;;;;
1612284840.534703,2253,-1.787813425064087;;;;;
1612284840.534703,2258,-2.4681055545806885;;;;;
1612284840.534703,2264,-3.635924816131592;;;;;
1612284840.534703,2265,-2.4234609603881836;;;;;
1612284840.534703,2267,-1.431838035583496;;;;;
1612284840.5356812,2272,-2.4508819580078125;;;;;
1612284840.5356812,2274,-3.363333225250244;;;;;
1612284840.5356812,2276,-1.6331841945648193;;;;;
1612284868.66797,2310,-1.087942123413086;;;;;
1612284868.66797,2314,-1.2894212007522583;;;;;
1612284868.66797,2316,-1.6066021919250488;;;;;
1612284868.66797,2320,-1.147234320640564;;;;;
1612284868.66797,2322,-1.6448417901992798;;;;;
1612284868.6689672,2328,-0.9909159541130066;;;;;
1612284868.6689672,2334,-1.9423511028289795;;;;;
1612284868.6689672,2336,-1.621120810508728;;;;;
1612284868.6699896,2339,-1.8649537563323975;;;;;
1612284868.6699896,2342,-2.4077813625335693;;;;;
1612284868.6709623,2346,-1.6473827362060547;;;;;
1612284868.6709623,2350,-1.9143333435058594;;;;;
1612284868.6709623,2356,-1.3197941780090332;;;;;
1612284868.6709623,2360,-1.9656524658203125;;;;;
1612284868.6719587,2364,-1.5566258430480957;;;;;
1612284868.6719587,2367,-2.4458377361297607;;;;;
1612284868.6719587,2370,-2.4420628547668457;;;;;
1612284868.6719587,2373,-2.4871137142181396;;;;;
1612284868.6729565,2391,-1.9488561153411865;;;;;
1612284868.6739736,2398,-1.4755306243896484;;;;;
1612284868.6739736,2406,-1.0699636936187744;;;;;
1612284868.6739736,2408,-1.9381914138793945;;;;;
1612284868.674975,2410,-1.1307990550994873;;;;;
1612284868.674975,2414,-1.7155787944793701;;;;;
1612284868.6759489,2419,-1.6415526866912842;;;;;
1612284868.6759489,2424,-1.0597734451293945;;;;;
1612284868.6759489,2427,-2.489224433898926;;;;;
1612284896.534901,2432,-2.425784111022949;;;;;
1612284896.5359297,2442,-1.1950483322143555;;;;;
1612284896.5359297,2446,-1.1905765533447266;;;;;
1612284896.536928,2450,-1.6767518520355225;;;;;
1612284896.536928,2452,-2.0184619426727295;;;;;
1612284896.536928,2457,-1.5907127857208252;;;;;
1612284896.536928,2459,-1.2686309814453125;;;;;
1612284896.536928,2461,-1.841476559638977;;;;;
1612284896.536928,2466,-2.390778064727783;;;;;
1612284896.5389214,2480,-3.0647003650665283;;;;;
1612284896.5398865,2489,-1.673198938369751;;;;;
1612284896.5398865,2491,-2.4702272415161133;;;;;
1612284896.5409157,2502,-2.455869674682617;;;;;
1612284896.5409157,2508,-1.1785417795181274;;;;;
1612284896.5409157,2510,-1.5427749156951904;;;;;
1612284896.5409157,2511,-2.4725866317749023;;;;;
1612284896.5409157,2513,-1.6509439945220947;;;;;
1612284896.5418813,2525,-1.0177831649780273;;;;;
1612284896.5418813,2530,-2.4168388843536377;;;;;
1612284896.5438778,2543,-1.5267579555511475;;;;;
1612284896.5438778,2547,-1.1565037965774536;;;;;
1612284896.5438778,2552,-1.3369520902633667;;;;;
1612284896.5438778,2554,-1.378847360610962;;;;;
1612284896.5449023,2558,-2.4598209857940674;;;;;
1612284922.8060184,2560,-1.7968326807022095;;;;;
1612284922.8060184,2570,-1.6236248016357422;;;;;
1612284922.8060184,2571,-2.4116172790527344;;;;;
1612284922.8060184,2572,-2.451467275619507;;;;;
1612284922.8070152,2578,-1.2954432964324951;;;;;
1612284922.8070152,2583,-1.6352782249450684;;;;;
1612284922.8070152,2584,-2.533203363418579;;;;;
1612284922.8070152,2586,-1.9528350830078125;;;;;
1612284922.8070152,2588,-1.4160194396972656;;;;;
1612284922.808032,2589,-2.81597900390625;;;;;
1612284922.8087971,2600,-1.4348995685577393;;;;;
1612284922.8087971,2611,-1.288311243057251;;;;;
1612284922.8102043,2621,-2.3888843059539795;;;;;
1612284922.8102043,2628,-3.0600953102111816;;;;;
1612284922.8114958,2632,-1.2244408130645752;;;;;
1612284922.8114958,2642,-1.764707326889038;;;;;
1612284922.8127942,2650,-1.6142786741256714;;;;;
1612284922.8127942,2664,-1.0502352714538574;;;;;
1612284922.8127942,2668,-3.3923683166503906;;;;;
1612284922.8138263,2673,-1.6591782569885254;;;;;
1612284922.8138263,2677,-1.9306362867355347;;;;;
1612284922.8138263,2679,-1.2193121910095215;;;;;
1612284922.8138263,2684,-2.506669282913208;;;;;
1612284922.8138263,2686,-1.232295274734497;;;;;
1612284950.8830824,2690,-1.5979251861572266;;;;;
1612284950.8841147,2692,-3.2156882286071777;;;;;
1612284950.8841147,2698,-1.0075005292892456;;;;;
1612284950.886698,2731,-3.507661819458008;;;;;
1612284950.886698,2732,-2.8238368034362793;;;;;
1612284950.886698,2734,-1.0678455829620361;;;;;
1612284950.886698,2744,-1.1848150491714478;;;;;
1612284950.8877323,2750,-1.2231042385101318;;;;;
1612284950.8877323,2758,-1.1126033067703247;;;;;
1612284950.8877323,2760,-1.495639681816101;;;;;
1612284950.8877323,2761,-2.8427722454071045;;;;;
1612284950.8887298,2769,-1.8672809600830078;;;;;
1612284950.8887298,2771,-1.7248685359954834;;;;;
1612284950.8887298,2772,-2.447847366333008;;;;;
1612284950.8897643,2776,-3.239543914794922;;;;;
1612284950.8897643,2780,-1.5940403938293457;;;;;
1612284950.8907275,2783,-1.5941580533981323;;;;;
1612284950.8907275,2787,-1.4804415702819824;;;;;
1612284950.8917568,2802,-1.1127426624298096;;;;;
1612284950.8917568,2811,-1.5124521255493164;;;;;
1612284950.8917568,2813,-1.5379102230072021;;;;;
1612284977.5862718,2831,-1.336241602897644;;;;;
