Wall time,Step,Value;;;;;
1612299516.9359534,1208,-1.9778956174850464;;;;;
1612299516.9366462,1210,-1.4112565517425537;;;;;
1612299516.9366462,1212,-1.6948516368865967;;;;;
1612299516.9366462,1214,-1.3719303607940674;;;;;
1612299516.9366462,1217,-1.0198698043823242;;;;;
1612299516.9376729,1219,-1.2364206314086914;;;;;
1612299516.9386442,1229,-1.0423064231872559;;;;;
1612299516.9386442,1231,-1.521012306213379;;;;;
1612299516.9386442,1239,-1.0865023136138916;;;;;
1612299516.9386442,1245,-3.3642971515655518;;;;;
1612299516.9399233,1249,-1.618668794631958;;;;;
1612299516.9399233,1260,-1.4651026725769043;;;;;
1612299516.9399233,1264,-1.5225728750228882;;;;;
1612299516.9412508,1273,-2.4564716815948486;;;;;
1612299543.3901129,1280,-2.3924615383148193;;;;;
1612299543.3911116,1282,-1.59646475315094;;;;;
1612299543.3911116,1284,-2.4297292232513428;;;;;
1612299543.3921392,1306,-1.2414500713348389;;;;;
1612299543.3941329,1317,-2.5471014976501465;;;;;
1612299543.3941329,1318,-2.478438138961792;;;;;
1612299543.3941329,1321,-2.525068521499634;;;;;
1612299543.3941329,1323,-1.212928056716919;;;;;
1612299543.3941329,1325,-1.0924601554870605;;;;;
1612299543.3941329,1327,-1.6154735088348389;;;;;
1612299543.3951,1330,-2.4289309978485107;;;;;
1612299543.3951,1336,-1.3934528827667236;;;;;
1612299543.3951,1342,-2.795686721801758;;;;;
1612299543.3951,1344,-1.4674456119537354;;;;;
1612299543.3961065,1351,-1.1855560541152954;;;;;
1612299543.3971167,1356,-2.4861702919006348;;;;;
1612299543.3971167,1364,-1.3604204654693604;;;;;
1612299543.3980916,1369,-1.8874151706695557;;;;;
1612299543.3980916,1370,-2.519132137298584;;;;;
1612299543.3980916,1372,-1.2378844022750854;;;;;
1612299543.3980916,1374,-1.2755281925201416;;;;;
1612299543.3980916,1376,-1.5969706773757935;;;;;
1612299543.3980916,1380,-1.0755724906921387;;;;;
1612299543.3980916,1381,-2.4316015243530273;;;;;
1612299543.399108,1383,-1.5820343494415283;;;;;
1612299543.399108,1388,-2.526306629180908;;;;;
1612299543.399108,1390,-1.4738554954528809;;;;;
1612299543.399108,1392,-1.3237918615341187;;;;;
1612299543.399108,1395,-2.504852056503296;;;;;
1612299543.399108,1399,-1.554951548576355;;;;;
