Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612270235.887762,849,-2.5369646549224854;;;;;
1612270236.4043903,851,-1.4916621446609497;;;;;
1612270239.797661,869,-1.777632474899292;;;;;
1612270240.0789096,871,-1.3073704242706299;;;;;
1612270245.0180216,893,-1.6376233100891113;;;;;
1612270246.313568,898,-2.9997076988220215;;;;;
1612270246.6586173,900,-1.3984413146972656;;;;;
1612270246.9857712,903,-2.4503185749053955;;;;;
1612270247.8251631,907,-1.9758107662200928;;;;;
1612270253.1379623,933,-1.1145622730255127;;;;;
1612270255.4741302,942,-1.6678087711334229;;;;;
1612270255.8087645,945,-2.453383684158325;;;;;
1612270257.4653199,951,-1.4396988153457642;;;;;
1612270258.3290114,954,-1.066857933998108;;;;;
1612270260.1232154,963,-1.3262423276901245;;;;;
1612270260.4493434,965,-3.060293436050415;;;;;
1612270263.213462,974,-2.481102705001831;;;;;
1612270264.0198295,978,-1.1477943658828735;;;;;
1612270264.0198295,979,-2.489274024963379;;;;;
1612270264.8715205,983,-2.9871304035186768;;;;;
1612270265.3004408,985,-1.0854066610336304;;;;;
1612270266.5830793,991,-1.0527544021606445;;;;;
1612270267.6871295,995,-1.3001878261566162;;;;;
1612270269.8608902,1004,-1.4887615442276;;;;;
1612270270.4965467,1006,-1.4366788864135742;;;;;
1612270273.8794885,1022,-3.213858127593994;;;;;
1612270274.799356,1026,-1.135504961013794;;;;;
1612270276.4284575,1034,-1.2678486108779907;;;;;
1612270276.8862948,1036,-1.211183786392212;;;;;
1612270277.361051,1038,-1.7088242769241333;;;;;
1612270279.0911558,1046,-1.3677098751068115;;;;;
1612270280.5372925,1054,-1.562052845954895;;;;;
1612270281.1176174,1056,-1.7727477550506592;;;;;
1612270282.4416466,1062,-1.7502487897872925;;;;;
1612270283.100884,1066,-1.5390714406967163;;;;;
1612270284.0423691,1070,-1.6587607860565186;;;;;
1612270284.5973568,1072,-1.2123537063598633;;;;;
1612270285.0511436,1074,-1.0527303218841553;;;;;
1612270285.7203553,1076,-3.1024794578552246;;;;;
1612270286.54814,1080,-1.1213467121124268;;;;;
1612270286.8364017,1082,-1.3296375274658203;;;;;
1612270288.3453367,1091,-2.4311084747314453;;;;;
1612270288.630592,1093,-3.4122209548950195;;;;;
1612270291.0605795,1105,-2.416151285171509;;;;;
1612270292.0070481,1109,-2.989304542541504;;;;;
1612270294.0057068,1119,-2.4333789348602295;;;;;
1612270295.45982,1123,-1.2830573320388794;;;;;
1612270298.2623317,1132,-1.0512924194335938;;;;;
1612270299.2866244,1139,-1.0044727325439453;;;;;
1612270300.0006816,1143,-1.7714457511901855;;;;;
1612270305.1170568,1166,-1.3017029762268066;;;;;
1612270307.0731232,1177,-1.2625231742858887;;;;;
1612270307.527907,1179,-1.0979135036468506;;;;;
1612270308.457422,1183,-1.489483118057251;;;;;
1612270309.0239077,1185,-1.248382329940796;;;;;
1612270309.5078511,1187,-1.5783641338348389;;;;;
1612270309.8958464,1189,-1.0943657159805298;;;;;
1612270310.8293304,1193,-0.991349458694458;;;;;
1612270311.9691277,1198,-1.0129095315933228;;;;;
1612270312.9211268,1205,-2.4544365406036377;;;;;
1612270313.2941198,1207,-1.221848964691162;;;;;
1612270315.034466,1214,-1.3258072137832642;;;;;
1612270316.1664565,1220,-1.9957772493362427;;;;;
1612270317.2764745,1227,-1.5429315567016602;;;;;
1612270318.9230812,1232,-1.0867552757263184;;;;;
1612270319.2362602,1234,-1.028252363204956;;;;;
1612270320.2385628,1238,-1.9028639793395996;;;;;
1612270320.6843781,1240,-1.0827841758728027;;;;;
1612270321.5515811,1244,-1.6678452491760254;;;;;
1612270321.8849177,1246,-1.1874079704284668;;;;;
1612270321.8849177,1247,-2.472475051879883;;;;;
1612270322.9919589,1253,-1.3860836029052734;;;;;
1612270323.299594,1255,-1.0498015880584717;;;;;
1612270323.5967994,1257,-1.6344541311264038;;;;;
1612270324.1812441,1261,-1.4420089721679688;;;;;
1612270325.023453,1265,-1.0630089044570923;;;;;
1612270325.4054086,1267,-1.308530569076538;;;;;
1612270328.719375,1280,-1.1204397678375244;;;;;
1612270329.9710655,1286,-0.9828768968582153;;;;;
1612270331.9724395,1294,-1.1783926486968994;;;;;
1612270332.9355109,1298,-1.1665632724761963;;;;;
1612270333.6400282,1301,-1.1323621273040771;;;;;
1612270334.419942,1304,-1.5346653461456299;;;;;
1612270336.2620428,1310,-2.4414479732513428;;;;;
1612270337.7480476,1316,-1.0539381504058838;;;;;
1612270338.7013445,1320,-2.45560884475708;;;;;
1612270338.9865813,1322,-1.556394100189209;;;;;
1612270339.2847838,1324,-3.166849136352539;;;;;
1612270339.715633,1326,-1.1511507034301758;;;;;
1612270341.7924547,1337,-1.2393471002578735;;;;;
1612270344.549346,1348,-1.425822377204895;;;;;
1612270345.3262687,1352,-1.5361435413360596;;;;;
1612270345.744152,1354,-1.2178831100463867;;;;;
1612270347.5023687,1362,-1.0929313898086548;;;;;
1612270348.6951523,1368,-0.9383276104927063;;;;;
1612270348.6951523,1369,-2.39249849319458;;;;;
1612270349.401265,1373,-1.2384204864501953;;;;;
1612270349.8550518,1375,-1.6628457307815552;;;;;
1612270350.3437455,1377,-1.5966233015060425;;;;;
1612270351.099757,1381,-1.5801655054092407;;;;;
1612270352.0020125,1385,-1.146424412727356;;;;;
1612270355.1685479,1396,-1.034290075302124;;;;;
1612270356.3514054,1402,-1.200805902481079;;;;;
1612270356.9019165,1404,-1.4372470378875732;;;;;
1612270358.531143,1410,-1.1802482604980469;;;;;
1612270358.976494,1412,-1.149482011795044;;;;;
1612270358.976494,1413,-2.4730300903320312;;;;;
1612270359.8535552,1417,-1.1146291494369507;;;;;
1612270360.5845997,1419,-1.224168300628662;;;;;
